Last Update,Continent,Region,ICC,ID,Country,ID,,Province,ID,District,ZIP,Area,Population,Confirmed,Deaths,Recovered,#,
,,,,,,,,,,,,,,145193,5404,70251,,
2020-03-13T11:09:03,Asia,Eastern Asia,86,CHN,China,14,,Hubei,,,,,59170000,67786,3062,51553,1,
2020-03-13T11:09:03,Asia,Eastern Asia,86,CHN,China,6,,Guangdong,,,,,113460000,1356,8,1296,2,
2020-03-11T08:13:09,Asia,Eastern Asia,86,CHN,China,12,,Henan,,,,,96050000,1273,22,1249,3,
2020-03-12T01:33:02,Asia,Eastern Asia,86,CHN,China,33,,Zhejiang,,,,,57370000,1215,1,1197,4,
2020-03-13T11:09:03,Asia,Eastern Asia,86,CHN,China,15,,Hunan,,,,,68990000,1018,4,1005,5,
2020-03-11T02:18:14,Asia,Eastern Asia,86,CHN,China,1,,Anhui,,,,,63240000,990,6,984,6,
2020-03-12T02:13:04,Asia,Eastern Asia,86,CHN,China,18,,Jiangxi,,,,,46480000,935,1,934,7,
2020-03-13T11:09:03,Asia,Eastern Asia,86,CHN,China,25,,Shandong,,,,,100470000,760,7,739,8,
2020-03-13T11:09:03,Asia,Eastern Asia,86,CHN,China,17,,Jiangsu,,,,,80510000,631,0,630,9,
2020-03-13T23:13:12,Asia,Eastern Asia,86,CHN,China,3,,Chongqing,,,,,31020000,576,6,566,10,
2020-03-13T11:09:03,Asia,Eastern Asia,86,CHN,China,28,,Sichuan,,,,,83410000,539,3,503,11,
2020-03-13T11:09:03,Asia,Eastern Asia,86,CHN,China,11,,Heilongjiang,,,,,37730000,482,13,446,12,
2020-03-13T11:09:03,Asia,Eastern Asia,86,CHN,China,2,,Beijing,,,,,21540000,436,8,342,13,
2020-03-13T11:09:03,Asia,Eastern Asia,86,CHN,China,26,,Shanghai,,,,,24240000,346,3,324,14,
2020-03-13T11:09:03,Asia,Eastern Asia,86,CHN,China,10,,Hebei,,,,,75560000,318,6,310,15,
2020-03-11T02:18:14,Asia,Eastern Asia,86,CHN,China,4,,Fujian,,,,,39410000,296,1,295,16,
2020-03-13T11:09:03,Asia,Eastern Asia,86,CHN,China,7,,Guangxi,,,,,49260000,252,2,243,17,
2020-03-12T01:33:02,Asia,Eastern Asia,86,CHN,China,24,,Shaanxi,,,,,38640000,245,2,232,18,
2020-03-11T02:18:14,Asia,Eastern Asia,86,CHN,China,32,,Yunnan,,,,,48300000,174,2,170,19,
2020-03-12T03:53:02,Asia,Eastern Asia,86,CHN,China,9,,Hainan,,,,,9340000,168,6,160,20,
2020-03-13T11:09:03,Asia,Eastern Asia,86,CHN,China,8,,Guizhou,,,,,36000000,146,2,140,21,
