Last Update;World Region;ICC;ID;Country;;Province;;District;ZIP;Area;Population;Confirmed;Deaths;Recovered;#
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;125865;4615;67003;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2020-03-11T10:53:02;Eastern Asia;86;CHN;China;14;Hubei;;;;;59170000;67773;3046;49134;1
2020-03-11T21:33:02;Southern Europe;39;ITA;Italy;;;;;;;60247214;12462;827;1045;2
2020-03-11T18:52:03;Southern Asia;98;IRN;Iran;;;;;;;83241033;9000;354;2959;3
2020-03-11T21:13:18;Eastern Asia;82;KOR;South Korea;;;;;;;51780579;7755;60;288;4
2020-03-11T22:53:03;Western Europe;33;FRA;France;;;;;;;67064000;2281;48;12;5
2020-03-11T20:53:02;Southern Europe;34.C;ESP;Spain;;;;;;;47100396;2277;54;183;6
2020-03-11T19:13:17;Western Europe;49;DEU;Germany;;;;;;;83149300;1908;3;25;7
2020-03-11T10:13:06;Eastern Asia;86;CHN;China;6;Guangdong;;;;;113460000;1356;8;1282;8
2020-03-11T08:13:09;Eastern Asia;86;CHN;China;12;Henan;;;;;96050000;1273;22;1249;9
2020-03-11T09:33:12;Eastern Asia;86;CHN;China;33;Zhejiang;;;;;57370000;1215;1;1195;10
2020-03-11T02:18:14;Eastern Asia;86;CHN;China;15;Hunan;;;;;68990000;1018;4;995;11
2020-03-11T02:18:14;Eastern Asia;86;CHN;China;1;Anhui;;;;;63240000;990;6;984;12
2020-03-11T02:18:14;Eastern Asia;86;CHN;China;18;Jiangxi;;;;;46480000;935;1;932;13
2020-03-11T11:33:07;Eastern Asia;86;CHN;China;25;Shandong;;;;;100470000;760;6;726;14
2020-03-11T22:13:12;0;5;IC;International Conveyance;1;Diamond Princess;;;;;3700;696;7;325;15
2020-03-11T20:53:02;Western Europe;41;CHE;Switzerland;;;;;;;8586550;652;4;4;16
2020-03-11T21:33:03;Eastern Asia;81;JPN;Japan;;;;;;;126010000;639;15;118;17
2020-03-11T02:18:14;Eastern Asia;86;CHN;China;17;Jiangsu;;;;;80510000;631;0;627;18
2020-03-11T19:33:02;Northern Europe;47.A;NOR;Norway;;;;;;;5367580;598;0;1;19
2020-03-11T23:13:05;Eastern Asia;86;CHN;China;3;Chongqing;;;;;31020000;576;6;554;20
2020-03-11T14:33:03;Eastern Asia;86;CHN;China;28;Sichuan;;;;;83410000;539;3;488;21
2020-03-11T14:13:11;Western Europe;31;NLD;Netherlands;;;;;;;17439481;503;5;0;22
2020-03-11T19:33:02;Northern Europe;46;SWE;Sweden;;;;;;;10327589;500;1;1;23
2020-03-11T11:33:07;Eastern Asia;86;CHN;China;11;Heilongjiang;;;;;37730000;482;13;436;24
2020-03-11T21:33:03;Northern Europe;44.F;GBR;United Kingdom;;;;;;;66435600;456;8;18;25
2020-03-11T22:13:13;Northern Europe;45;DNK;Denmark;;;;;;;5822763;442;0;1;26
2020-03-11T02:18:14;Eastern Asia;86;CHN;China;2;Beijing;;;;;21540000;435;8;326;27
2020-03-11T22:33:03;Northern America;1.X;USA;USA;53;Washington;;;;;6724540;366;29;1;28
