Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;181.546;7.126;78.088;;;;
2020-03-16 14:38;Africa;Eastern Africa;251;ETH;Ethiopia;;;;;;;;98.665.000;5;0;0;https://www.openstreetmap.org/#map=5/9.1450/40.4897&layers=T;9.1450;40.4897;202
2020-03-16 00:22;Africa;Eastern Africa;254;KEN;Kenya;;;;;;;;47.564.296;3;0;0;https://www.openstreetmap.org/#map=5/-0.0236/37.9062&layers=T;-0.0236;37.9062;216
2020-03-16 14:38;Africa;Eastern Africa;262;MYT;Mayotte;;X;;;;;;279.471;1;0;0;https://www.openstreetmap.org/#map=5/-12.8431/45.1383&layers=T;-12.8431;45.1383;245
2020-03-16 14:38;Africa;Eastern Africa;262;MYT;Mayotte;;;;;;;;279.471;1;0;0;https://www.openstreetmap.org/#map=5/-12.8275/45.1662&layers=T;-12.8275;45.1662;253
2020-03-16 14:38;Africa;Eastern Africa;262;REU;Réunion;;;;;;;;853.659;9;0;0;https://www.openstreetmap.org/#map=5/-21.1151/55.5364&layers=T;-21.1151;55.5364;180
2020-03-16 01:33;Africa;Eastern Africa;250;RWA;Rwanda;;;;;;;;12.374.397;5;0;0;https://www.openstreetmap.org/#map=5/-1.9403/29.8739&layers=T;-1.9403;29.8739;204
2020-03-16 01:13;Africa;Eastern Africa;248;SYC;Seychelles;;;;;;;;97.625;3;0;0;https://www.openstreetmap.org/#map=5/-4.6796/55.4920&layers=T;-4.6796;55.4920;218
2020-03-16 14:38;Africa;Eastern Africa;252;SOM;Somalia;;;;;;;;15.442.905;1;0;0;https://www.openstreetmap.org/#map=5/5.1521/46.1996&layers=T;5.1521;46.1996;259
2020-03-16 14:38;Africa;Eastern Africa;255;TZA;Tanzania;;;;;;;;55.890.747;1;0;0;https://www.openstreetmap.org/#map=5/-6.3690/34.8888&layers=T;-6.3690;34.8888;262
2020-03-16 02:33;Africa;Middle Africa;237;CMR;Cameroon;;;;;;;;25.876.000;4;0;0;https://www.openstreetmap.org/#map=5/3.8480/11.5021&layers=T;3.8480;11.5021;207
2020-03-16 03:33;Africa;Middle Africa;236;CAF;Central African Republic;;;;;;;;5.496.011;1;0;0;https://www.openstreetmap.org/#map=5/6.6111/20.9394&layers=T;6.6111;20.9394;239
2020-03-16 14:38;Africa;Middle Africa;242;COG;Congo Republic;;;;;;;;5.380.508;1;0;0;https://www.openstreetmap.org/#map=5/-0.2280/15.8277&layers=T;-0.2280;15.8277;241
2020-03-16 03:33;Africa;Middle Africa;242;COG;Congo Republic;;;;;;;;5.380.508;1;0;0;https://www.openstreetmap.org/#map=5/-1.4400/15.5560&layers=T;-1.4400;15.5560;257
2020-03-13 22:22;Africa;Middle Africa;243;COD;DR Congo;;;;;;;;86.790.567;2;0;0;https://www.openstreetmap.org/#map=5/-4.0383/21.7587&layers=T;-4.0383;21.7587;225
