JHU;octup.us
;
;
;
;
Korea, South;South Korea
Cruise Ship;International Conveyance
US;United States
Congo (Kinshasa);DR Congo
Congo (Brazzaville);Congo Republic
Republic of the Congo;Congo Republic
Cote d'Ivoire;Côte d'Ivoire
Côte d’Ivoire;Côte d'Ivoire
Cote d’Ivoire;Côte d'Ivoire
Reunion;Réunion
Mainland China;China
UK;United Kingdom
Macau *;China
Macau;Macao
Others;International Conveyance
occupied Palestinian territory;Palestine
Saint Barthelemy;Saint Barthélemy
St Martin;Saint Martin
Fench Guiana;French Guiana
Curacao;Curaçao
Tibet;Xizang
Virgin Islands, U.S.;U.S. Virgin Islands
The Bahamas;Bahamas
