 ID ;Provinces;Population;
;33;1.404.640.000;
皖;Anhui;63.240.000;1
京;Beijing;21.540.000;2
渝;Chongqing;31.020.000;3
闽;Fujian;39.410.000;4
甘;Gansu;26.370.000;5
粤;Guangdong;113.460.000;6
桂;Guangxi;49.260.000;7
贵;Guizhou;36.000.000;8
琼;Hainan;9.340.000;9
冀;Hebei;75.560.000;10
黑;Heilongjiang;37.730.000;11
豫;Henan;96.050.000;12
港;Hong Kong;7.450.000;13
鄂;Hubei;59.170.000;14
湘;Hunan;68.990.000;15
蒙;Inner Mongolia;25.340.000;16
苏;Jiangsu;80.510.000;17
赣;Jiangxi;46.480.000;18
吉;Jilin;27.040.000;19
辽;Liaoning;43.590.000;20
澳;Macao;660.000;21
宁;Ningxia;6.880.000;22
青;Qinghai;6.030.000;23
陕;Shaanxi;38.640.000;24
鲁;Shandong;100.470.000;25
沪;Shanghai;24.240.000;26
晋;Shanxi;37.180.000;27
川;Sichuan;83.410.000;28
津;Tianjin;15.600.000;29
新;Xinjiang;24.870.000;30
བོད;Xizang;3.440.000;31
云;Yunnan;48.300.000;32
浙;Zhejiang;57.370.000;33
;;;
;;;
;;;
生;Unknown;;99
