Continent;Region;1/22/20;1/23/20;1/24/20;1/25/20;1/26/20;1/27/20;1/28/20;1/29/20;1/30/20;1/31/20;2/1/20;2/2/20;2/3/20;2/4/20;2/5/20;2/6/20;2/7/20;2/8/20;2/9/20;2/10/20;2/11/20;2/12/20;2/13/20;2/14/20;2/15/20;2/16/20;2/17/20;2/18/20;2/19/20;2/20/20;2/21/20;2/22/20;2/23/20;2/24/20;2/25/20;2/26/20;2/27/20;2/28/20;2/29/20;3/1/20;3/2/20;3/3/20;3/4/20;3/5/20;3/6/20;3/7/20;3/8/20;3/9/20;3/10/20;3/11/20;3/12/20;3/13/20;3/14/20;3/15/20;3/16/20;3/17/20;3/18/20;0;0;0
Africa;Eastern Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;11;15;28;31;46;0;0;0
Africa;Middle Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;3;3;4;5;8;10;17;21;0;0;0
Africa;Northern Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;3;6;8;16;18;35;35;72;79;87;92;104;130;182;205;254;319;350;0;0;0
Africa;Southern Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;7;13;17;24;41;54;65;65;119;0;0;0
Africa;Western Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;5;5;6;6;6;7;8;10;10;17;21;39;53;62;80;0;0;0
Americas;Caribbean;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;4;5;7;10;10;10;12;16;28;49;56;70;103;123;0;0;0
Americas;Central America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;5;5;5;5;7;7;12;16;17;31;47;64;91;115;151;206;244;0;0;0
Americas;Northern America;1;1;2;2;6;6;7;7;7;11;12;12;15;15;16;16;18;18;18;18;19;19;20;20;20;20;21;21;21;21;24;24;24;61;62;68;71;74;88;98;125;148;182;254;311;456;582;660;1.038;1.389;1.780;2.372;2.921;3.742;5.039;6.890;8.429;0;0;0
Americas;South America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;8;11;16;22;34;45;67;74;96;129;148;298;363;428;648;931;1.166;0;0;0
Asia;Central Asia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;10;16;43;53;0;0;0
Asia;Eastern Asia;552;646;927;1.413;2.086;2.890;5.528;6.106;8.165;9.838;11.933;16.675;19.761;23.756;27.492;30.671;34.175;36.880;39.898;42.425;44.458;44.833;59.969;66.433;68.502;70.621;72.552;74.338;74.757;75.299;75.885;77.582;77.799;78.263;78.932;79.648;80.612;81.527;82.786;83.964;84.786;85.782;86.380;87.029;87.748;88.317;88.684;88.894;89.029;89.364;89.490;89.676;89.890;90.064;90.162;90.338;90.510;0;0;0
Asia;South-eastern Asia;2;6;10;15;18;20;28;31;36;44;51;54;56;70;76;78;81;98;105;113;117;120;130;139;147;151;154;158;161;161;162;162;166;166;170;175;176;177;189;197;202;211;225;236;287;310;347;389;436;521;536;694;839;1.138;1.354;1.630;1.922;0;0;0
Asia;Southern Asia;0;0;0;1;1;2;2;2;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;7;10;23;33;48;67;101;147;253;396;603;988;1.513;2.349;2.958;3.551;4.788;5.867;6.625;7.224;8.131;9.103;10.190;11.501;12.898;14.158;15.318;16.638;17.918;0;0;0
Asia;Western Asia;0;0;0;0;0;0;0;4;4;4;4;5;5;5;5;5;5;7;7;8;8;8;8;8;8;9;9;9;9;9;11;15;15;20;52;86;106;118;139;168;192;217;230;254;287;354;413;434;541;927;995;1.186;1.349;1.549;1.660;1.968;2.252;0;0;0
