ZIP;Bundesland;Land | Kreis | Stadt;Gebiete;Bevölkerung
;;;8168;80.322.251
89604;Baden-Württemberg;Alb-Donau-Kreis;Allmendingen;4.348
89605;Baden-Württemberg;Alb-Donau-Kreis;Altheim;597
89174;Baden-Württemberg;Alb-Donau-Kreis;Altheim (Alb);1.738
73340;Baden-Württemberg;Alb-Donau-Kreis;Amstetten;3.891
89176;Baden-Württemberg;Alb-Donau-Kreis;Asselfingen;1.006
88481;Baden-Württemberg;Alb-Donau-Kreis;Balzheim;1.981
89179;Baden-Württemberg;Alb-Donau-Kreis;Beimerstetten;2.533
89180;Baden-Württemberg;Alb-Donau-Kreis;Berghülen;1.929
89182;Baden-Württemberg;Alb-Donau-Kreis;Bernstadt;2.090
89143;Baden-Württemberg;Alb-Donau-Kreis;Blaubeuren;11.495
89134;Baden-Württemberg;Alb-Donau-Kreis;Blaustein;14.883
89177;Baden-Württemberg;Alb-Donau-Kreis;Börslingen;832
89607;Baden-Württemberg;Alb-Donau-Kreis;Emerkingen;857
89155;Baden-Württemberg;Alb-Donau-Kreis;Erbach;13.040
89608;Baden-Württemberg;Alb-Donau-Kreis;Griesingen;1.025
72535;Baden-Württemberg;Alb-Donau-Kreis;Heroldstatt;2.716
89183;Baden-Württemberg;Alb-Donau-Kreis;Holzkirch;538
89185;Baden-Württemberg;Alb-Donau-Kreis;Hüttisheim;1.359
89171;Baden-Württemberg;Alb-Donau-Kreis;Illerkirchberg;4.699
89186;Baden-Württemberg;Alb-Donau-Kreis;Illerrieden;3.310
89150;Baden-Württemberg;Alb-Donau-Kreis;Laichingen;10.882
89584;Baden-Württemberg;Alb-Donau-Kreis;Lauterach;25.052
89173;Baden-Württemberg;Alb-Donau-Kreis;Lonsee;4.724
89188;Baden-Württemberg;Alb-Donau-Kreis;Merklingen;1.888
89189;Baden-Württemberg;Alb-Donau-Kreis;Neenstetten;806
89191;Baden-Württemberg;Alb-Donau-Kreis;Nellingen;1.849
89610;Baden-Württemberg;Alb-Donau-Kreis;Oberdischingen;2.051
89613;Baden-Württemberg;Alb-Donau-Kreis;Oberstadion;1.761
89614;Baden-Württemberg;Alb-Donau-Kreis;Öpfingen;2.260
89192;Baden-Württemberg;Alb-Donau-Kreis;Rammingen;1.263
89611;Baden-Württemberg;Alb-Donau-Kreis;Rechtenstein;1.518
89616;Baden-Württemberg;Alb-Donau-Kreis;Rottenacker;2.065
89601;Baden-Württemberg;Alb-Donau-Kreis;Schelklingen;6.880
89194;Baden-Württemberg;Alb-Donau-Kreis;Schnürpflingen;1.343
89129;Baden-Württemberg;Alb-Donau-Kreis;Setzingen;15.492
89195;Baden-Württemberg;Alb-Donau-Kreis;Staig;3.098
89617;Baden-Württemberg;Alb-Donau-Kreis;Untermarchtal;900
89619;Baden-Württemberg;Alb-Donau-Kreis;Unterstadion;750
89597;Baden-Württemberg;Alb-Donau-Kreis;Unterwachingen;5.437
89197;Baden-Württemberg;Alb-Donau-Kreis;Weidenstetten;1.287
72589;Baden-Württemberg;Alb-Donau-Kreis;Westerheim;2.888
89198;Baden-Württemberg;Alb-Donau-Kreis;Westerstetten;2.195
76530;Baden-Württemberg;Baden-Baden;Baden-Baden;15.956
76532;Baden-Württemberg;Baden-Baden;Baden-Baden;21.942
76534;Baden-Württemberg;Baden-Baden;Baden-Baden;14.465
88697;Baden-Württemberg;Bodenseekreis;Bermatingen;3.827
88718;Baden-Württemberg;Bodenseekreis;Daisendorf;1.545
88693;Baden-Württemberg;Bodenseekreis;Deggenhausertal;4.113
