Last Update;ID;Confirmed;Deaths;Recovered
;;;;
;;;;
;;;;
;;10.999;20;0
2020-03-19 10:00;BW;2.155;6;
2020-03-19 10:00;BY;1.692;8;
2020-03-19 10:00;BE;573;0;
2020-03-19 10:00;BB;134;0;
2020-03-19 10:00;HB;80;0;
2020-03-19 10:00;HH;432;0;
2020-03-19 10:00;HE;682;0;
2020-03-19 10:00;MV;98;0;
2020-03-19 10:00;NI;669;0;
2020-03-19 10:00;NW;3.033;6;
2020-03-19 10:00;RP;637;0;
2020-03-19 10:00;SL;99;0;
2020-03-19 10:00;SN;275;0;
2020-03-19 10:00;ST;140;0;
2020-03-19 10:00;SH;202;0;
2020-03-19 10:00;TH;98;0;
2020-03-19 10:00;REP;0;0;
