 ID ;Provinces;Population;
;78;3.725.789;
1;Adjuntas Municipio;19.483;
2;Aguada Municipio;41.959;
3;Aguadilla Municipio;60.949;
4;Aguas Buenas Municipio;28.659;
5;Aibonito Municipio;25.900;
6;Añasco Municipio;29.261;
7;Arecibo Municipio;96.440;
8;Arroyo Municipio;19.575;
9;Barceloneta Municipio;24.816;
10;Barranquitas Municipio;30.318;
11;Bayamón Municipio;208.116;
12;Cabo Rojo Municipio;50.917;
13;Caguas Municipio;142.893;
14;Camuy Municipio;35.159;
15;Canóvanas Municipio;47.648;
16;Carolina Municipio;176.762;
17;Cataño Municipio;28.140;
18;Cayey Municipio;48.119;
19;Ceiba Municipio;13.631;
20;Ciales Municipio;18.782;
21;Cidra Municipio;43.480;
22;Coamo Municipio;40.512;
23;Comerío Municipio;20.778;
24;Corozal Municipio;37.142;
25;Culebra Municipio;1.818;
26;Dorado Municipio;38.165;
27;Fajardo Municipio;36.993;
28;Florida Municipio;12.680;
29;Guánica Municipio;19.427;
30;Guayama Municipio;45.362;
31;Guayanilla Municipio;21.581;
32;Guaynabo Municipio;97.924;
33;Gurabo Municipio;45.369;
34;Hatillo Municipio;41.953;
35;Hormigueros Municipio;17.250;
36;Humacao Municipio;58.466;
37;Isabela Municipio;45.631;
38;Jayuya Municipio;16.642;
39;Juana Díaz Municipio;50.747;
40;Juncos Municipio;40.290;
41;Lajas Municipio;25.753;
42;Lares Municipio;30.753;
43;Las Marías Municipio;9.881;
44;Las Piedras Municipio;38.675;
45;Loíza Municipio;30.060;
46;Luquillo Municipio;20.068;
47;Manatí Municipio;44.113;
48;Maricao Municipio;6.276;
49;Maunabo Municipio;12.225;
50;Mayagüez Municipio;89.080;
51;Moca Municipio;40.109;
52;Morovis Municipio;32.610;
53;Naguabo Municipio;26.720;
54;Naranjito Municipio;30.402;
55;Orocovis Municipio;23.423;
56;Patillas Municipio;19.277;
57;Peñuelas Municipio;24.282;
58;Ponce Municipio;166.327;
59;Quebradillas Municipio;25.919;
60;Rincón Municipio;15.200;
61;Río Grande Municipio;54.304;
62;Sabana Grande Municipio;25.265;
63;Salinas Municipio;31.078;
64;San Germán Municipio;35.527;
65;San Juan Municipio;395.326;
66;San Lorenzo Municipio;41.058;
67;San Sebastián Municipio;42.430;
68;Santa Isabel Municipio;23.274;
69;Toa Alta Municipio;74.066;
70;Toa Baja Municipio;89.609;
71;Trujillo Alto Municipio;74.842;
72;Utuado Municipio;33.149;
73;Vega Alta Municipio;39.951;
74;Vega Baja Municipio;59.662;
75;Vieques Municipio;9.301;
76;Villalba Municipio;26.073;
77;Yabucoa Municipio;37.941;
78;Yauco Municipio;42.043;
