ID;State;FIPS;Counties;Population
;;;3143;308.745.538
01001;Alabama;001;Autauga County;54571
01003;Alabama;003;Baldwin County;182265
01005;Alabama;005;Barbour County;27457
01007;Alabama;007;Bibb County;22915
01009;Alabama;009;Blount County;57322
01011;Alabama;011;Bullock County;10914
01013;Alabama;013;Butler County;20947
01015;Alabama;015;Calhoun County;118572
01017;Alabama;017;Chambers County;34215
01019;Alabama;019;Cherokee County;25989
01021;Alabama;021;Chilton County;43643
01023;Alabama;023;Choctaw County;13859
01025;Alabama;025;Clarke County;25833
01027;Alabama;027;Clay County;13932
01029;Alabama;029;Cleburne County;14972
01031;Alabama;031;Coffee County;49948
01033;Alabama;033;Colbert County;54428
01035;Alabama;035;Conecuh County;13228
01037;Alabama;037;Coosa County;11539
01039;Alabama;039;Covington County;37765
01041;Alabama;041;Crenshaw County;13906
01043;Alabama;043;Cullman County;80406
01045;Alabama;045;Dale County;50251
01047;Alabama;047;Dallas County;43820
01049;Alabama;049;DeKalb County;71109
01051;Alabama;051;Elmore County;79303
01053;Alabama;053;Escambia County;38319
01055;Alabama;055;Etowah County;104430
01057;Alabama;057;Fayette County;17241
01059;Alabama;059;Franklin County;31704
01061;Alabama;061;Geneva County;26790
01063;Alabama;063;Greene County;9045
01065;Alabama;065;Hale County;15760
01067;Alabama;067;Henry County;17302
01069;Alabama;069;Houston County;101547
01071;Alabama;071;Jackson County;53227
01073;Alabama;073;Jefferson County;658466
01075;Alabama;075;Lamar County;14564
01077;Alabama;077;Lauderdale County;92709
01079;Alabama;079;Lawrence County;34339
01081;Alabama;081;Lee County;140247
01083;Alabama;083;Limestone County;82782
01085;Alabama;085;Lowndes County;11299
01087;Alabama;087;Macon County;21452
01089;Alabama;089;Madison County;334811
01091;Alabama;091;Marengo County;21027
01093;Alabama;093;Marion County;30776
01095;Alabama;095;Marshall County;93019
01097;Alabama;097;Mobile County;412992
01099;Alabama;099;Monroe County;23068
01101;Alabama;101;Montgomery County;229363
01103;Alabama;103;Morgan County;119490
01105;Alabama;105;Perry County;10591
01107;Alabama;107;Pickens County;19746
01109;Alabama;109;Pike County;32899
01111;Alabama;111;Randolph County;22913
01113;Alabama;113;Russell County;52947
01115;Alabama;115;St. Clair County;83593
01117;Alabama;117;Shelby County;195085
01119;Alabama;119;Sumter County;13763
01121;Alabama;121;Talladega County;82291
01123;Alabama;123;Tallapoosa County;41616
01125;Alabama;125;Tuscaloosa County;194656
01127;Alabama;127;Walker County;67023
01129;Alabama;129;Washington County;17581
01131;Alabama;131;Wilcox County;11670
01133;Alabama;133;Winston County;24484
02013;Alaska;013;Aleutians East Borough;3141
02016;Alaska;016;Aleutians West Census Area;5561
02020;Alaska;020;Anchorage Municipality;291826
02050;Alaska;050;Bethel Census Area;17013
02060;Alaska;060;Bristol Bay Borough;997
02068;Alaska;068;Denali Borough;1826
02070;Alaska;070;Dillingham Census Area;4847
02090;Alaska;090;Fairbanks North Star Borough;97581
02100;Alaska;100;Haines Borough;2508
02105;Alaska;105;Hoonah-Angoon Census Area;2150
02110;Alaska;110;Juneau City and Borough;31275
02122;Alaska;122;Kenai Peninsula Borough;55400
02130;Alaska;130;Ketchikan Gateway Borough;13477
02150;Alaska;150;Kodiak Island Borough;13592
02164;Alaska;164;Lake and Peninsula Borough;1631
02170;Alaska;170;Matanuska-Susitna Borough;88995
02180;Alaska;180;Nome Census Area;9492
02185;Alaska;185;North Slope Borough;9430
02188;Alaska;188;Northwest Arctic Borough;7523
02195;Alaska;195;Petersburg Census Area;3815
02198;Alaska;198;Prince of Wales-Hyder Census Area;5559
02220;Alaska;220;Sitka City and Borough;8881
02230;Alaska;230;Skagway Municipality;968
02240;Alaska;240;Southeast Fairbanks Census Area;7029
02261;Alaska;261;Valdez-Cordova Census Area;9636
02270;Alaska;270;Wade Hampton Census Area;7459
02275;Alaska;275;Wrangell City and Borough;2369
02282;Alaska;282;Yakutat City and Borough;662
02290;Alaska;290;Yukon-Koyukuk Census Area;5588
04001;Arizona;001;Apache County;71518
04003;Arizona;003;Cochise County;131346
04005;Arizona;005;Coconino County;134421
04007;Arizona;007;Gila County;53597
04009;Arizona;009;Graham County;37220
04011;Arizona;011;Greenlee County;8437
04012;Arizona;012;La Paz County;20489
04013;Arizona;013;Maricopa County;3817117
04015;Arizona;015;Mohave County;200186
04017;Arizona;017;Navajo County;107449
04019;Arizona;019;Pima County;980263
04021;Arizona;021;Pinal County;375770
04023;Arizona;023;Santa Cruz County;47420
04025;Arizona;025;Yavapai County;211033
04027;Arizona;027;Yuma County;195751
05001;Arkansas;001;Arkansas County;19019
05003;Arkansas;003;Ashley County;21853
05005;Arkansas;005;Baxter County;41513
05007;Arkansas;007;Benton County;221339
05009;Arkansas;009;Boone County;36903
05011;Arkansas;011;Bradley County;11508
05013;Arkansas;013;Calhoun County;5368
05015;Arkansas;015;Carroll County;27446
05017;Arkansas;017;Chicot County;11800
05019;Arkansas;019;Clark County;22995
05021;Arkansas;021;Clay County;16083
05023;Arkansas;023;Cleburne County;25970
05025;Arkansas;025;Cleveland County;8689
05027;Arkansas;027;Columbia County;24552
05029;Arkansas;029;Conway County;21273
05031;Arkansas;031;Craighead County;96443
05033;Arkansas;033;Crawford County;61948
05035;Arkansas;035;Crittenden County;50902
05037;Arkansas;037;Cross County;17870
05039;Arkansas;039;Dallas County;8116
05041;Arkansas;041;Desha County;13008
05043;Arkansas;043;Drew County;18509
05045;Arkansas;045;Faulkner County;113237
05047;Arkansas;047;Franklin County;18125
05049;Arkansas;049;Fulton County;12245
05051;Arkansas;051;Garland County;96024
05053;Arkansas;053;Grant County;17853
05055;Arkansas;055;Greene County;42090
05057;Arkansas;057;Hempstead County;22609
05059;Arkansas;059;Hot Spring County;32923
05061;Arkansas;061;Howard County;13789
05063;Arkansas;063;Independence County;36647
05065;Arkansas;065;Izard County;13696
05067;Arkansas;067;Jackson County;17997
05069;Arkansas;069;Jefferson County;77435
05071;Arkansas;071;Johnson County;25540
05073;Arkansas;073;Lafayette County;7645
05075;Arkansas;075;Lawrence County;17415
05077;Arkansas;077;Lee County;10424
05079;Arkansas;079;Lincoln County;14134
05081;Arkansas;081;Little River County;13171
05083;Arkansas;083;Logan County;22353
05085;Arkansas;085;Lonoke County;68356
