ID;Country;ICC;Population;Region;"Sub- or Intermediate
Region"
;;;;;
AFG;Afghanistan;93;32.225.560;Asia;Southern Asia
ATA;Antarctica;672;5.000;Antarctica;Antarctica
ALA;Åland Islands;358;29.789;Europe;Northern Europe
ALB;Albania;355;2.862.427;Europe;Southern Europe
DZA;Algeria;213;43.000.000;Africa;Northern Africa
ASM;American Samoa;1;56.700;Oceania;Polynesia
AND;Andorra;376;77.543;Europe;Southern Europe
AGO;Angola;244;31.127.674;Africa;Middle Africa
AIA;Anguilla;1;14.869;Americas;Caribbean
ATG;Antigua and Barbuda;1;96.453;Americas;Caribbean
ARG;Argentina;54;44.938.712;Americas;South America
ARM;Armenia;374;2.957.500;Asia;Western Asia
ABW;Aruba;297;112.309;Americas;Caribbean
SH-AC;Ascension Island;247;806;Africa;Western Africa
AUS;Australia;61;25.631.395;Oceania;Oceania
AUT;Austria;43;8.902.600;Europe;Western Europe
AZE;Azerbaijan;994;10.067.108;Asia;Western Asia
BHS;Bahamas;1;385.340;Americas;Caribbean
BHR;Bahrain;973;1.543.300;Asia;Western Asia
BGD;Bangladesh;880;168.186.262;Asia;Southern Asia
BRB;Barbados;1;287.025;Americas;Caribbean
BLR;Belarus;375;9.413.446;Europe;Eastern Europe
BEL;Belgium;32;11.524.454;Europe;Western Europe
BLZ;Belize;501;408.487;Americas;Central America
BEN;Benin;229;11.733.059;Africa;Western Africa
BMU;Bermuda;1;64.027;Americas;Northern America
BTN;Bhutan;975;741.672;Asia;Southern Asia
BOL;Bolivia;591;11.469.896;Americas;South America
NL-BQ1;Bonaire;599;20.104;Americas;Caribbean
BIH;Bosnia and Herzegovina;387;3.301.000;Europe;Southern Europe
BWA;Botswana;267;2.338.851;Africa;Southern Africa
BRA;Brazil;55;211.191.084;Americas;South America
IOT;British Indian Ocean Territory;246;4.000;Africa;Eastern Africa
VGB;British Virgin Islands;1;30.030;Americas;Caribbean
BRN;Brunei;673;442.400;Asia;South-eastern Asia
