;0;Country or unrecognized territory;International Calling Code
1;2;Afghanistan;93
0;0;;0
0;0;;0
2;5;Antarctica;672
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
3;12;Åland Islands;358
4;13;Albania;355
0;0;;0
0;0;;0
0;0;;0
0;0;;0
5;18;Algeria;213
0;0;;0
0;0;;0
6;21;American Samoa;1
7;22;Andorra;376
8;23;Angola;244
0;0;;0
0;0;;0
9;26;Anguilla;1
10;27;Antigua and Barbuda;1
11;28;Argentina;54
12;29;Armenia;374
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
13;41;Aruba;297
14;42;Ascension Island;247
15;43;Australia;61
0;0;;
16;45;Austria;43
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
17;54;Azerbaijan;994
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
18;60;Bahamas;1
0;0;;0
0;0;;0
19;63;Bahrain;973
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
20;82;Bangladesh;880
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
21;89;Barbados;1
0;0;;0
0;0;;0
0;0;;0
22;93;Belarus;375
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
23;105;Belgium;32
0;0;;0
0;0;;0
0;0;;0
24;109;Belize;501
0;0;;0
0;0;;0
25;112;Benin;229
26;113;Bermuda;1
27;114;Bhutan;975
28;115;Bolivia;591
0;0;;0
29;117;Bonaire;599
30;118;Bosnia and Herzegovina;387
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
31;125;Botswana;267
32;126;Brazil;55
33;127;British Indian Ocean Territory;246
34;128;British Virgin Islands;1
35;129;Brunei;673
36;130;Bulgaria;359
0;0;;0
0;0;;0
0;0;;0
0;0;;0
37;135;Burkina Faso;226
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;
38;144;Burundi;257
39;145;Cambodia;855
0;0;;0
0;0;;0
0;0;;0
0;0;;0
40;150;Cameroon;237
0;0;;0
41;152;Canada;1
42;153;Canary Islands;34
43;154;Cape Verde;238
44;155;Cayman Islands;1
45;156;Central African Republic;236
46;157;Ceuta;34
47;158;Chad;235
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
48;166;Chagos Islands;246
49;167;Chile;56
50;168;China;86
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
51;176;Christmas Island;61
52;177;Cocos (Keeling) Islands;61
