ID;Country or unrecognized territory;Population;#
CHN;China;1.401.551.000;1
IND;India;1.359.238.350;2
USA;United States;329.368.418;3
IDN;Indonesia;266.911.900;4
BRA;Brazil;211.191.084;5
PAK;Pakistan;208.203.777;6
NGA;Nigeria;200.963.599;7
BGD;Bangladesh;168.186.262;8
RUS;Russia;146.780.720;9
MEX;Mexico;126.577.691;10
JPN;Japan;126.010.000;11
PHL;Philippines;108.341.299;12
EGY;Egypt;100.072.195;13
ETH;Ethiopia;98.665.000;14
VNM;Vietnam;96.208.984;15
COD;DR Congo;86.790.567;16
IRN;Iran;83.241.033;17
TUR;Turkey;83.154.997;18
DEU;Germany;83.149.300;19
FRA;France;67.064.000;20
THA;Thailand;66.475.817;21
GBR;United Kingdom;66.435.600;22
ITA;Italy;60.247.214;23
ZAF;South Africa;58.775.022;24
TZA;Tanzania;55.890.747;25
MMR;Myanmar;54.339.766;26
KOR;South Korea;51.780.579;27
COL;Colombia;49.395.678;28
KEN;Kenya;47.564.296;29
ESP;Spain;47.100.396;30
ARG;Argentina;44.938.712;31
DZA;Algeria;43.000.000;32
SDN;Sudan;42.306.185;33
UKR;Ukraine;41.902.416;34
UGA;Uganda;40.299.300;35
IRQ;Iraq;39.127.900;36
POL;Poland;38.386.000;37
CAN;Canada;37.940.493;38
MAR;Morocco;35.824.881;39
SAU;Saudi Arabia;34.218.169;40
UZB;Uzbekistan;34.042.388;41
MYS;Malaysia;32.704.760;42
AFG;Afghanistan;32.225.560;43
VEN;Venezuela;32.219.521;44
PER;Peru;32.131.400;45
AGO;Angola;31.127.674;46
GHA;Ghana;30.280.811;47
NPL;Nepal;29.609.623;48
YEM;Yemen;29.161.922;49
MOZ;Mozambique;28.571.310;50
CMR;Cameroon;25.876.000;51
CIV;Côte d'Ivoire;25.823.071;52
MDG;Madagascar;25.680.342;53
AUS;Australia;25.631.395;54
PRK;North Korea;25.450.000;55
TWN;Taiwan;23.604.265;56
NER;Niger;22.314.743;57
LKA;Sri Lanka;21.803.000;58
BFA;Burkina Faso;20.870.060;59
MLI;Mali;19.973.000;60
ROU;Romania;19.405.156;61
CHL;Chile;19.107.216;62
KAZ;Kazakhstan;18.654.144;63
MWI;Malawi;17.563.749;64
NLD;Netherlands;17.439.481;65
ECU;Ecuador;17.434.416;66
ZMB;Zambia;17.381.168;67
SYR;Syria;17.070.135;68
GTM;Guatemala;16.604.026;69
SEN;Senegal;16.209.125;70
TCD;Chad;15.692.969;71
SOM;Somalia;15.442.905;72
KHM;Cambodia;15.288.489;73
ZWE;Zimbabwe;15.159.624;74
SSD;South Sudan;12.778.250;75
RWA;Rwanda;12.374.397;76
GIN;Guinea;12.218.357;77
BEN;Benin;11.733.059;78
TUN;Tunisia;11.722.038;79
HTI;Haiti;11.577.779;80
BEL;Belgium;11.524.454;81
