Rank;Country (or dependent territory);Population;"% of world
population";Date;Source
1; China[b];1,401,551,000;18.0%;29 Feb 2020;National population clock[3]
2; India;1,359,238,350;17.5%;29 Feb 2020;National population clock[4]
3; United States[c];329,368,418;4.24%;29 Feb 2020;National population clock[5]
4; Indonesia;266,911,900;3.44%;1 Jul 2019;National annual projection[6]
5; Brazil;211,191,084;2.72%;29 Feb 2020;National population clock[7]
6; Pakistan;208,203,777;2.68%;29 Feb 2020;2017 census[8]
7; Nigeria;200,963,599;2.59%;1 Jul 2019;UN projection[2]
8; Bangladesh;168,186,262;2.17%;29 Feb 2020;National population clock[9]
9; Russia[d];146,780,720;1.89%;1 Jan 2019;National estimate[10]
10; Mexico;126,577,691;1.63%;1 Jul 2019;National annual projection[11]
11; Japan;126,010,000;1.62%;1 Feb 2020;Monthly provisional estimate[12]
12; Philippines;108,341,299;1.39%;29 Feb 2020;National population clock[13]
13; Egypt;100,072,195;1.29%;29 Feb 2020;National population clock[14]
14; Ethiopia;98,665,000;1.27%;1 Jul 2019;National annual projection[15]
15; Vietnam;96,208,984;1.24%;1 Apr 2019;Preliminary 2019 census result[16]
16; DR Congo;86,790,567;1.12%;1 Jul 2019;UN projection[2]
17; Iran;83,241,033;1.07%;29 Feb 2020;National population clock[17]
18; Turkey;83,154,997;1.07%;31 Dec 2019;National annual estimate[18]
19; Germany;83,149,300;1.07%;30 Sep 2019;National estimate[19]
20; France[e];67,064,000;863 %;1 Jan 2020;Monthly national estimate[20]
21; Thailand;66,475,817;856 %;29 Feb 2020;National population clock[21]
22; United Kingdom[f];66,435,600;855 %;30 Jun 2018;National annual estimate[22]
23; Italy;60,247,214;776 %;30 Sep 2019;Monthly national estimate[23]
24; South Africa;58,775,022;757 %;1 Jul 2019;National annual estimate[24]
25; Tanzania[g];55,890,747;719 %;1 Jul 2019;National annual projection[25]
26; Myanmar;54,339,766;699 %;1 Jul 2019;National annual projection[26]
27; South Korea;51,780,579;667 %;1 Jul 2020;National annual projection[27]
28; Colombia;49,395,678;636 %;30 Jun 2019;National annual projection[28]
29; Kenya;47,564,296;612 %;31 Aug 2019;2019 census result[29]
30; Spain;47,100,396;606 %;1 Jul 2019;National estimate[30]
31; Argentina;44,938,712;578 %;1 Jul 2019;National annual projection[31]
32; Algeria;43,000,000;554 %;1 Jan 2019;National annual projection[32]
33; Sudan;42,306,185;545 %;29 Feb 2020;National population clock[33]
34; Ukraine[h];41,902,416;539 %;1 Jan 2020;Monthly national estimate[34]
35; Uganda;40,299,300;519 %;1 Jul 2019;National annual projection[35]
36; Iraq;39,127,900;504 %;1 Jul 2019;National annual projection[36]
37; Poland;38,386,000;494 %;30 Jun 2019;National estimate[37]
38; Canada;37,940,493;488 %;29 Feb 2020;National population clock[38]
39; Morocco[i];35,824,881;461 %;29 Feb 2020;National population clock[39]
40; Saudi Arabia;34,218,169;440 %;1 Jul 2019;National estimate[40]
41; Uzbekistan;34,042,388;438 %;29 Feb 2020;National population clock[41]
42; Malaysia;32,704,760;421 %;29 Feb 2020;National population clock[42]
43; Afghanistan;32,225,560;415 %;1 Jul 2019;National annual estimate[43]
44; Venezuela;32,219,521;415 %;30 Jun 2019;National annual projection[44]
45; Peru;32,131,400;414 %;30 Jun 2019;National annual projection[45]
46; Angola;31,127,674;401 %;2020;National projection[46]
47; Ghana;30,280,811;390 %;1 Jul 2019;National projection[47]
48; Nepal;29,609,623;381 %;1 Jul 2019;National annual projection[48]
49; Yemen;29,161,922;375 %;1 Jul 2019;UN projection[2]
50; Mozambique;28,571,310;368 %;1 Jul 2019;National projection[49]
51; Cameroon;25,876,000;333 %;1 Jul 2019;UN projection[2]
52; Ivory Coast;25,823,071;332 %;1 Jul 2019;National projection[50]
53; Madagascar;25,680,342;331 %;18 May 2018;Provisional 2018 census result[51]
54; Australia;25,631,395;330 %;29 Feb 2020;National population clock[52]
55; North Korea;25,450,000;328 %;1 Jul 2019;National annual projection[53]
–; Taiwan[j];23,604,265;304 %;31 Jan 2020;Monthly national estimate[54]
56; Niger;22,314,743;287 %;1 Jul 2019;National annual projection[55]
57; Sri Lanka;21,803,000;281 %;1 Jul 2019;National estimate[56]
58; Burkina Faso;20,870,060;269 %;1 Jul 2019;National annual projection[57]
59; Mali;19,973,000;257 %;1 Jul 2019;National annual projection[58]
60; Romania;19,405,156;250 %;1 Jan 2019;National annual estimate[59]
61; Chile;19,107,216;246 %;1 Jul 2019;National annual projection[60]
62; Kazakhstan;18,654,144;240 %;29 Feb 2020;National population clock[61]
63; Malawi;17,563,749;226 %;3 Sep 2018;2018 census result[62]
64; Netherlands;17,439,481;224 %;29 Feb 2020;National population clock[63]
65; Ecuador;17,434,416;224 %;29 Feb 2020;National population clock[64]
66; Zambia;17,381,168;224 %;1 Jul 2019;National annual projection[65]
67; Syria;17,070,135;220 %;1 Jul 2019;UN projection[2]
68; Guatemala;16,604,026;214 %;1 Jul 2019;National annual projection[66]
69; Senegal;16,209,125;209 %;1 Jul 2019;National annual projection[67]
70; Chad;15,692,969;202 %;1 Jul 2019;National annual projection[68]
71; Somalia[k];15,442,905;199 %;1 Jul 2019;UN projection[2]
72; Cambodia;15,288,489;197 %;3 Mar 2019;Provisional 2019 census result[69]
73; Zimbabwe;15,159,624;195 %;1 Jul 2019;National annual projection[70]
74; South Sudan;12,778,250;164 %;1 Jul 2019;National annual projection[71]
75; Rwanda;12,374,397;159 %;1 Jul 2019;National projection annual[72]
76; Guinea;12,218,357;157 %;1 Jul 2019;National projection[73]
77; Benin;11,733,059;151 %;1 Jul 2019;National projection annual[74]
78; Tunisia;11,722,038;151 %;1 Jul 2019;National estimate[75]
79; Haiti;11,577,779;149 %;1 Jul 2019;National annual projection[76]
80; Belgium;11,524,454;148 %;1 Jan 2020;Monthly national estimate[77]
81; Bolivia;11,469,896;148 %;1 Jul 2019;National projection annual[78]
82; Cuba;11,209,628;144 %;31 Dec 2018;National annual estimate[79]
83; Burundi;10,953,317;141 %;1 Jul 2019;National annual projection[80]
84; Greece;10,724,599;138 %;1 Jan 2019;National estimate[81]
85; Czech Republic;10,681,161;137 %;30 Sep 2019;National quarterly estimate[82]
86; Jordan;10,625,504;137 %;29 Feb 2020;National population clock[83]
87; Dominican Republic;10,358,320;133 %;1 Jul 2019;National projection[84]
88; Sweden;10,327,589;133 %;31 Dec 2019;National monthly estimate[85]
89; Portugal;10,276,617;132 %;31 Dec 2018;National annual estimate[86]
90; Azerbaijan;10,067,108;130 %;1 Jan 2020;National estimate[87]
91; Hungary;9,772,756;126 %;1 Jan 2019;National estimate[88]
