Country or unrecognized territory;"Interna-
tional
Calling
Code";Mobile Prefix [notes 1];"Size of
NN (NSN) [notes 2]";Carrier;Notes
Afghanistan[1];+93;70;9;AWCC;www.afghan-wireless.com
;;71;;;
;;72;;Roshan;www.roshan.af
;;73;;Etisalat;www.etisalat.af
;;74;;SALAAM (state owned);www.salaam.af
;;75;;Afghan Telecom (state owned);www.afghantelecom.af
;;76;;MTN;www.mtn.com.af
;;77;;;
;;78;;Etisalat;www.etisalat.af
;;79;;Roshan;www.roshan.af
Åland Islands;358;457;10;;See Finland
Albania[2];+355;62 - 65;9;?;
;;66;;PLUS Communication;
;;67;;EAGLE MOBILE;
;;68;;AMC;
;;69;;Vodafone;
Algeria;+213;5;9;Nedjma Telecom;+213 5 xx xx xx xx
;;6;;Mobilis-Algerie Telecom;+213 6 xx xx xx xx
;;7;;Orascom Telecom Algerie;+213 7 xx xx xx xx
American Samoa;1;684;10;;NANP member, no mobile-specific prefix
Andorra;+376;3;?;;
Angola;+244;91;?;MOVICEL - CDMA;
;;92;;UNITEL - GSM;
;;93;;;
Anguilla;1;264 772;10;;NANP member
Antigua and Barbuda;1;268 7xx;10;;NANP member
Argentina;+54;9/15;?;All carriers: Claro, Movistar, Personal, Tuenti;15 before the local number but after long distance area code for national calls (0 11 15 xxxx-xxxx) and 9 placed after the international access code excluding the 15 for international calls (+54 9 11 xxxx-xxxx).
Armenia;+374;55;6;Ucom;
;;95;;;
;;41;;;
;;44;;;
;;77;;VivaCell-MTS;
;;93;;;
;;94;;;
;;98;;;
;;91;;Beeline Armenia;Users can now switch carriers and keep their cell phone numbers, including prefix.
;;99;;;
;;43;;;
;;97;;Karabakh Telecom;
Aruba;+297;??;7;;
Ascension Island;+247;??;;;
Australia;+61;4;9;any;"No set cellular suffix, due to ""Number Porting"" from one network to another. i.e. 04xxxx xxxx"
Australian Antarctic Territory;672;1x;9;;See Norfolk Island
Austria;+43;650;10;T-Mobile Austria GmbH (telering);
;;660;;Hutchison 3G Austria GmbH (drei);
;;664;;mobilkom Austria AG (Mobilkom, A1);
;;676;;T-Mobile Austria GmbH (T-Mobile, formerly max);
;;680;;mobilkom Austria AG (Bob);
;;677;11;HoT (T-Mobile, formerly max);
;;681;;YESSS! Telekommunikation GmbH;
;;688;;Tele2 Mobil;
;;699;;Hutchison 3G Austria GmbH (drei) formerly Orange Austria (Orange [formerly ONE], Yesss);
Azerbaijan;+994;40;9;Catel;
;;50;;Azercell;
;;51;;Azercell;
;;55;;Bakcell;
;;70;;Nar Mobile;
;;77;;Azerfon-Vodafone;
Bahamas;1;242 35x;10;;NANP member
;;242 45x;;;
;;242 55x;;;
Bahrain;+973;31;8;Royal Court;Users can now switch carriers and keep their cell phone numbers, including prefix
;;322;;Batelco;
;;33;;Viva;
;;340;;;
;;341;;;
;;343;;;
;;344;;;
;;345;;;
;;353;;;
;;355;;;
;;36;;Zain;
;;377;;;
;;383;;Batelco;
;;384;;;
;;388;;;
;;39;;;
;;663;;Zain;
;;666;;;
;;669;;;
Bangladesh;+880;13xx;10;GrameenPhone;"Users can now switch carriers and keep their cell phone numbers, including prefix (so prefixes are not tightly coupled to a specific
carrier)."
;;14xx;;Banglalink;
;;15xx;;Teletalk;
;;16xx;;Airtel;
;;17xx;;GrameenPhone;
;;18xx;;Robi;
;;19xx;;Banglalink;
Barbados;1;246;10;AT&T Wireless (formerly);NANP member, no mobile-specific prefix
;;;;Digicel;
;;;;LIME;
;;;;Sunbeach;
Belarus;+375;25;9;life:);Users can switch carriers while keeping number and prefix (so prefixes are not tightly coupled to a specific carrier).
;;29 1;;A1;
;;29 2;;MTS;
;;29 3;;A1;
;;29 4;;diallog;
;;29 5;;MTS;
;;29 6;;A1;
;;29 7;;MTS;
;;29 8;;MTS;
;;29 9;;A1;
;;33;;MTS;
;;44;;A1;
