Continent;Region;1/22/20;1/23/20;1/24/20;1/25/20;1/26/20;1/27/20;1/28/20;1/29/20;1/30/20;1/31/20;2/1/20;2/2/20;2/3/20;2/4/20;2/5/20;2/6/20;2/7/20;2/8/20;2/9/20;2/10/20;2/11/20;2/12/20;2/13/20;2/14/20;2/15/20;2/16/20;2/17/20;2/18/20;2/19/20;2/20/20;2/21/20;2/22/20;2/23/20;2/24/20;2/25/20;2/26/20;2/27/20;2/28/20;2/29/20;3/1/20;3/2/20;3/3/20;3/4/20;3/5/20;3/6/20;3/7/20;3/8/20;3/9/20;3/10/20;3/11/20;3/12/20;3/13/20;3/14/20;3/15/20;3/16/20;3/17/20;3/18/20;3/19/20;0;0
CHN;Eastern Asia;548;95;277;486;669;802;2.632;578;2.054;1.661;2.089;4.739;3.086;3.991;3.733;3.147;3.523;2.704;3.015;2.525;2.532;4.373;7.136;6.463;4.055;3.100;2.421;1.777;408;458;473;1.451;21;219;513;412;434;328;428;576;204;125;125;151;153;80;53;37;27;34;11;13;32;26;30;25;44;54;0;0
Asia;Eastern Asia;4;-1;4;0;4;2;6;0;5;12;6;3;0;4;3;32;-19;1;3;2;1;2;0;1;14;19;10;9;11;84;113;246;196;245;156;304;530;587;831;602;618;871;473;498;566;489;314;173;108;301;115;173;182;148;68;151;128;195;0;0
Asia;South-eastern Asia;2;4;4;5;3;2;8;3;5;8;7;3;2;14;6;2;3;17;7;8;4;3;10;9;8;4;3;4;3;0;1;0;4;0;4;5;1;1;12;8;5;9;14;11;51;23;37;42;47;85;15;158;145;299;216;276;292;320;0;0
Asia;Southern Asia;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;13;10;15;19;34;46;106;143;207;385;525;836;609;593;1.237;1.079;758;599;907;972;1.087;1.311;1.397;1.260;1.160;1.320;1.280;1.251;0;0
Asia;Western Asia;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;2;4;0;5;32;34;20;12;21;29;24;25;13;24;33;67;59;21;107;386;68;191;163;200;111;308;284;649;0;0
Asia;Central Asia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;6;27;10;17;0;0
Europe;Southern Europe;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;17;42;93;74;98;142;207;253;254;609;388;515;657;840;948;1.362;1.724;2.199;1.678;2.977;5.061;3.414;4.824;5.263;5.544;5.607;6.473;9.843;0;0
Europe;Western Europe;0;0;2;1;0;1;4;1;0;1;4;2;2;1;0;0;1;5;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;6;14;48;21;97;100;123;78;214;419;684;623;621;378;1.115;1.343;239;4.227;2.394;2.667;4.242;4.361;5.776;7.085;0;0
Europe;Eastern Europe;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;3;1;3;12;7;23;3;38;7;38;89;42;181;178;125;187;258;271;459;0;0
Europe;Northern Europe;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;1;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;3;9;12;21;25;15;33;96;135;120;149;161;198;574;650;394;1.285;793;330;781;897;1.114;974;0;0
