Last Update;ID;Confirmed;Deaths;Recovered
;;;;
;;;;
;;;;
;;13.957;31;0
2020-03-20 09:56;BW;2.746;10;
2020-03-20 09:56;BY;2.401;12;
2020-03-20 09:56;BE;731;0;
2020-03-20 09:56;BB;192;0;
2020-03-20 09:56;HB;121;0;
2020-03-20 09:56;HH;586;0;
2020-03-20 09:56;HE;813;1;
2020-03-20 09:56;MV;131;0;
2020-03-20 09:56;NI;803;0;
2020-03-20 09:56;NW;3.497;6;
2020-03-20 09:56;RP;801;1;
2020-03-20 09:56;SL;146;0;
2020-03-20 09:56;SN;394;0;
2020-03-20 09:56;ST;180;0;
2020-03-20 09:56;SH;266;1;
2020-03-20 09:56;TH;149;0;
2020-03-20 09:56;REP;0;0;
