Continent;Region;Country;ID;20/1/22;20/1/23;20/1/24;20/1/25;20/1/26;20/1/27;20/1/28;20/1/29;20/1/30;20/1/31;20/2/1;20/2/2;20/2/3;20/2/4;20/2/5;20/2/6;20/2/7;20/2/8;20/2/9;20/2/10;20/2/11;20/2/12;20/2/13;20/2/14;20/2/15;20/2/16;20/2/17;20/2/18;20/2/19;20/2/20;20/2/21;20/2/22;20/2/23;20/2/24;20/2/25;20/2/26;20/2/27;20/2/28;20/2/29;20/3/1;20/3/2;20/3/3;20/3/4;20/3/5;20/3/6;20/3/7;20/3/8;20/3/9;20/3/10;20/3/11;20/3/12;20/3/13;20/3/14;20/3/15;20/3/16;20/3/17;20/3/18;20/3/19;20/3/20;
;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asia;Southern Asia;Iran;IRN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;13;10;15;18;34;44;106;143;205;385;523;835;586;591;1.234;1.076;743;595;881;958;1.075;1.289;1.365;1.209;1.053;1.178;1.192;1.046;1.237;0
Europe;Southern Europe;Spain;ESP;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;2;17;13;39;36;45;57;37;141;100;173;400;622;582;0;2.955;1.159;1.407;2.144;1.806;2.162;4.053;2.447;0
Europe;Western Europe;Germany;DEU;0;0;0;0;0;1;3;0;0;1;3;2;2;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;19;2;31;51;29;37;66;220;188;129;241;136;281;451;170;1.597;910;1.210;1.477;1.985;3.070;2.993;4.528;0
Europe;Western Europe;France;FRA;0;0;2;1;0;0;1;1;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;4;20;19;43;30;61;13;81;92;276;296;177;83;575;497;0;1.380;808;30;2.134;1.019;1.391;1.828;1.741;0
Asia;Eastern Asia;South Korea;KOR;1;0;1;0;1;1;0;0;0;7;1;3;0;1;3;4;1;0;1;2;1;0;0;0;0;1;1;1;0;73;100;229;169;231;144;284;505;571;813;586;599;851;435;467;505;448;273;164;35;242;114;110;107;76;74;84;93;152;87;0
Americas;Northern America;United States;USA;1;0;1;0;3;0;0;0;0;2;1;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;36;0;6;1;2;8;6;24;20;31;68;45;140;116;65;376;322;382;516;544;767;1.133;1.788;1.360;5.886;5.412;0
;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;Asia;0;98;285;492;676;807;2.646;585;2.065;1.681;2.102;4.747;3.089;4.009;3.742;3.181;3.507;2.724;3.025;2.536;2.037;378;15.146;6.473;2.077;2.124;1.934;1.790;424;545;602;1.711;236;488;739;801;1.091;1.071;1.499;1.600;1.376;1.866;1.234;1.277;2.040;1.738;1.221;872;1.196;1.778;1.296;1.850;1.921;1.937;1.591;2.107;2.038;2.486;2.287;0
;;;Southern Asia;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;13;10;15;19;34;46;106;143;207;385;525;836;609;593;1.237;1.079;758;599;907;972;1.087;1.311;1.397;1.260;1.160;1.320;1.280;1.251;1.353;0
Europe;Western Europe;Switzerland;CHE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;10;9;15;14;34;24;100;54;69;37;117;161;0;487;220;841;0;500;328;1.047;1.219;0
