Continent;Region;20/1/22;20/1/23;20/1/24;20/1/25;20/1/26;20/1/27;20/1/28;20/1/29;20/1/30;20/1/31;20/2/1;20/2/2;20/2/3;20/2/4;20/2/5;20/2/6;20/2/7;20/2/8;20/2/9;20/2/10;20/2/11;20/2/12;20/2/13;20/2/14;20/2/15;20/2/16;20/2/17;20/2/18;20/2/19;20/2/20;20/2/21;20/2/22;20/2/23;20/2/24;20/2/25;20/2/26;20/2/27;20/2/28;20/2/29;20/3/1;20/3/2;20/3/3;20/3/4;20/3/5;20/3/6;20/3/7;20/3/8;20/3/9;20/3/10;20/3/11;20/3/12;20/3/13;20/3/14;20/3/15;20/3/16;20/3/17;20/3/18;20/3/19;20/3/20;20/3/21
CHN;;548;95;277;486;669;802;2.632;578;2.054;1.661;2.089;4.739;3.086;3.991;3.733;3.147;3.523;2.704;3.015;2.525;2.532;4.373;7.136;6.463;4.055;3.100;2.421;1.777;408;458;473;1.451;21;219;513;412;434;328;428;576;204;125;125;151;153;80;53;37;27;34;11;13;32;26;30;25;44;54;94;55
Asia;;6;3;8;6;7;5;14;7;11;20;13;8;3;18;9;34;-16;20;10;11;5;5;10;10;22;24;13;13;16;87;129;260;215;269;226;389;657;743;1.071;1.024;1.172;1.741;1.109;1.126;1.887;1.658;1.168;835;1.169;1.744;1.285;1.837;1.889;1.911;1.561;2.082;1.994;2.432;2.193;2.671
DEU;;0;0;0;0;0;1;3;0;0;1;3;2;2;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;19;2;31;51;29;37;66;220;188;129;241;136;281;451;170;1.597;910;1.210;1.477;1.985;3.070;2.993;4.528;2.365
Europe;;0;0;2;1;0;0;1;2;0;7;2;0;0;1;0;0;2;5;1;5;0;1;0;0;1;0;0;0;0;0;17;42;93;78;103;150;245;287;341;686;498;592;913;1.181;1.587;2.008;2.303;2.646;3.124;4.608;5.566;7.510;7.279;7.175;9.277;9.138;10.564;15.368;15.947;19.081
Americas;;1;0;1;0;4;0;1;0;0;4;1;0;3;0;1;0;2;0;0;0;1;0;1;0;0;0;1;0;0;0;3;0;0;37;1;7;3;4;18;18;27;26;42;78;72;158;156;89;401;400;430;771;662;917;1.567;2.222;1.832;6.635;6.362;7.664
Africa;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;4;3;10;3;19;0;40;8;13;15;16;47;78;61;89;84;122;182;205;222
Oceania;;0;0;0;0;4;1;0;1;3;0;3;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;1;1;2;2;3;9;15;3;6;4;13;15;16;21;0;75;51;52;80;79;126;134;129;300
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHN;Cosmetics;;;;;;;;;;;;;;;;;;;;;500;4.000;-8.000;;2.000;1.000;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;Cosmetics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.000;-5.000;;;;;;;;
