Continent;Region;Country;ID;20/1/23;20/1/23;20/1/24;20/1/25;20/1/26;20/1/27;20/1/28;20/1/29;20/1/30;20/1/31;20/2/1;20/2/2;20/2/3;20/2/4;20/2/5;20/2/6;20/2/7;20/2/8;20/2/9;20/2/10;20/2/11;20/2/12;20/2/13;20/2/14;20/2/15;20/2/16;20/2/17;20/2/18;20/2/19;20/2/20;20/2/21;20/2/22;20/2/23;20/2/24;20/2/25;20/2/26;20/2/27;20/2/28;20/2/29;20/3/1;20/3/2;20/3/3;20/3/4;20/3/5;20/3/6;20/3/7;20/3/8;20/3/9;20/3/10;20/3/11;20/3/12;20/3/13;20/3/14;20/3/15;20/3/16;20/3/17;20/3/18;20/3/19;20/3/21;20/3/22
Asia;Eastern Asia;South Korea;KOR;1;1;0;1;1;0;0;0;7;1;3;0;1;3;4;1;0;1;2;1;0;0;0;0;1;1;1;0;73;100;229;169;231;144;284;505;571;813;586;599;851;435;467;505;448;273;164;35;242;114;110;107;76;74;84;93;152;87;147;98
Asia;Southern Asia;Iran;IRN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;13;10;15;18;34;44;106;143;205;385;523;835;586;591;1.234;1.076;743;595;881;958;1.075;1.289;1.365;1.209;1.053;1.178;1.192;1.046;1.237;966;1.028
Europe;Southern Europe;Spain;ESP;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;2;17;13;39;36;45;57;37;141;100;173;400;622;582;0;2.955;1.159;1.407;2.144;1.806;2.162;4.053;2.447;4.964;3.394
Europe;Western Europe;Germany;DEU;0;0;0;0;1;3;0;0;1;3;2;2;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;19;2;31;51;29;37;66;220;188;129;241;136;281;451;170;1.597;910;1.210;1.477;1.985;3.070;2.993;4.528;2.365;2.660
Europe;Western Europe;France;FRA;0;2;1;0;0;1;1;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;4;20;19;43;30;61;13;81;92;276;296;177;83;575;497;0;1.380;808;30;2.134;1.019;1.391;1.828;1.741;1.670;1.736
Asia;Eastern Asia;South Korea;KOR;1;1;0;1;1;0;0;0;7;1;3;0;1;3;4;1;0;1;2;1;0;0;0;0;1;1;1;0;73;100;229;169;231;144;284;505;571;813;586;599;851;435;467;505;448;273;164;35;242;114;110;107;76;74;84;93;152;87;147;98
Europe;Southern Europe;Italy;ITA;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17;42;93;74;93;131;202;233;240;566;342;466;587;769;778;1.247;1.492;1.797;977;2.313;0;5.198;3.497;3.590;3.233;3.526;4.207;5.322;5.986;6.557;5.560
Europe;Western Europe;Austria;AUT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;6;5;4;3;8;12;14;24;25;27;51;64;56;202;151;205;158;314;314;367;375;426;430
;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;Asia;0;285;492;676;807;2.646;585;2.065;1.681;2.102;4.747;3.089;4.009;3.742;3.181;3.507;2.724;3.025;2.536;2.037;378;15.146;6.473;2.077;2.124;1.934;1.790;424;545;602;1.711;236;488;739;801;1.091;1.071;1.499;1.600;1.376;1.866;1.234;1.277;2.040;1.738;1.221;872;1.196;1.778;1.296;1.850;1.921;1.937;1.591;2.107;2.038;2.486;2.287;2.726;3.081
;;;Northern America;1;1;0;4;0;1;0;0;4;1;0;3;0;1;0;2;0;0;0;1;0;1;0;0;0;1;0;0;0;3;0;0;37;1;6;3;3;14;10;27;23;34;72;57;145;126;78;378;351;391;592;549;821;1.297;1.851;1.539;6.032;5.555;6.716;7.958
Europe;Western Europe;Switzerland;CHE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;10;9;15;14;34;24;100;54;69;37;117;161;0;487;220;841;0;500;328;1.047;1.219;1.281;670
