 ID ;Bundesländer;Bevölkerung;;Hauptstadt;Lat;Long;Flag.
;16;80.322.251;;;;;
BW;Baden-Württemberg;10.483.012;1;Stuttgart;48.78232;09.17702;
BY;Bayern;12.412.404;2;München;48.13743;11.57549;
BE;Berlin;3.291.932;3;Berlin;52.52437;13.41053;
BB;Brandenburg;2.465.928;4;Potsdam;52.39886;13.06566;
HB;Bremen;650.715;5;Bremen;53.07363;08.80642;
HH;Hamburg;1.675.840;6;Hamburg;53.55108;09.99368;
HE;Hessen;5.988.463;7;Wiesbaden;50.07821;08.23976;
MV;Mecklenburg-Vorpommern;1.620.815;8;Schwerin;53.62959;11.41476;
NI;Niedersachsen;7.790.533;9;Hannover;52.37392;09.73560;
NW;Nordrhein-Westfalen;17.557.361;10;Düsseldorf;51.21794;06.76168;
RP;Rheinland-Pfalz;3.998.474;11;Mainz;49.99889;08.27394;
SL;Saarland;1.000.446;12;Saarbrücken;49.23333;07.00000;
SN;Sachsen;4.065.743;13;Dresden;51.05040;13.73726;
ST;Sachsen-Anhalt;2.290.034;14;Magdeburg;52.12773;11.62916;
SH;Schleswig-Holstein;2.838.231;15;Kiel;54.32333;10.13944;
TH;Thüringen;2.192.320;16;Erfurt;50.97770;11.02890;
REP;Repatriierte;0;REP;;;;
