Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;Doubletten;;"Cases 
/
100.000";Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;7.416.473.160;USA;;4,53;335.957;14.634;97.882;;;;292
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Europe;Western Europe;49;DEU;Germany;BW;;Baden-Württemberg;;;;;10.483.012;DEU_BW;0;36,35;3.811;21;;https://www.openstreetmap.org/#map=8/48.78232/09.17702&layers=T;48.78232;09.17702;
2020-03-23 09:00;Europe;Western Europe;49;DEU;Germany;BY;;Bayern;;;;;12.412.404;DEU_BY;0;39,41;4.892;26;;https://www.openstreetmap.org/#map=8/48.13743/11.57549&layers=T;48.13743;11.57549;
2020-03-23 09:00;Europe;Western Europe;49;DEU;Germany;BE;;Berlin;;;;;3.291.932;DEU_BE;0;32,72;1.077;1;;https://www.openstreetmap.org/#map=8/52.52437/13.41053&layers=T;52.52437;13.41053;
2020-03-23 09:00;Europe;Western Europe;49;DEU;Germany;BB;;Brandenburg;;;;;2.465.928;DEU_BB;0;11,68;288;0;;https://www.openstreetmap.org/#map=8/52.39886/13.06566&layers=T;52.39886;13.06566;
2020-03-23 09:00;Europe;Western Europe;49;DEU;Germany;HB;;Bremen;;;;;650.715;DEU_HB;0;26,13;170;0;;https://www.openstreetmap.org/#map=8/53.07363/08.80642&layers=T;53.07363;08.80642;
2020-03-23 09:00;Europe;Western Europe;49;DEU;Germany;HH;;Hamburg;;;;;1.675.840;DEU_HH;0;56,27;943;0;;https://www.openstreetmap.org/#map=8/53.55108/09.99368&layers=T;53.55108;09.99368;
2020-03-23 09:00;Europe;Western Europe;49;DEU;Germany;HE;;Hessen;;;;;5.988.463;DEU_HE;0;22,49;1.347;3;;https://www.openstreetmap.org/#map=8/50.07821/08.23976&layers=T;50.07821;08.23976;
2020-03-23 09:00;Europe;Western Europe;49;DEU;Germany;MV;;Mecklenburg-Vorpommern;;;;;1.620.815;DEU_MV;0;10,61;172;0;;https://www.openstreetmap.org/#map=8/53.62959/11.41476&layers=T;53.62959;11.41476;
2020-03-23 09:00;Europe;Western Europe;49;DEU;Germany;NI;;Niedersachsen;;;;;7.790.533;DEU_NI;0;19,04;1.483;4;;https://www.openstreetmap.org/#map=8/52.37392/09.73560&layers=T;52.37392;09.73560;
2020-03-23 09:00;Europe;Western Europe;49;DEU;Germany;NW;;Nordrhein-Westfalen;;;;;17.557.361;DEU_NW;0;31,98;5.615;28;;https://www.openstreetmap.org/#map=8/51.21794/06.76168&layers=T;51.21794;06.76168;
2020-03-23 09:00;Europe;Western Europe;49;DEU;Germany;RP;;Rheinland-Pfalz;;;;;3.998.474;DEU_RP;0;29,44;1.177;2;;https://www.openstreetmap.org/#map=8/49.99889/08.27394&layers=T;49.99889;08.27394;
