Continent;Region;20/2/15;20/2/16;20/2/17;20/2/18;20/2/19;20/2/20;20/2/21;20/2/22;20/2/23;20/2/24;20/2/25;20/2/26;20/2/27;20/2/28;20/2/29;20/3/1;20/3/2;20/3/3;20/3/4;20/3/5;20/3/6;20/3/7;20/3/8;20/3/9;20/3/10;20/3/11;20/3/12;20/3/13;20/3/14;20/3/15;20/3/16;20/3/17;20/3/18;20/3/19;20/3/20;20/3/21;20/3/22;20/3/23;20/3/24;20/3/25;20/3/26;20/3/27;20/3/28;20/3/29;20/3/30;20/3/31;20/4/1;20/4/2;20/4/3;20/4/4;20/4/5;20/4/6;20/4/7;20/4/8;20/4/9;20/4/10;20/4/11;20/4/12;20/4/13;20/4/14;20/4/15
CHN;;68.357;2.099;1.918;1.775;407;453;473;1.450;16;214;508;405;433;326;427;575;200;125;120;151;151;79;47;36;22;28;8;8;26;21;20;18;25;27;46;38;86;24;63;46;78;49;60;43;35;49;31;34;36;15;31;39;32;66;61;42;62;116;74;90;45
Asia;;305;25;16;15;17;92;129;261;220;274;231;396;658;745;1.072;1.025;1.176;1.741;1.114;1.130;1.892;1.668;1.174;839;1.173;1.732;1.287;1.845;1.890;1.919;1.610;2.002;1.973;2.341;2.318;2.693;3.100;3.074;3.659;5.335;5.412;7.009;7.292;7.303;6.966;8.740;8.514;9.253;8.610;8.930;9.293;10.607;9.449;9.507;10.255;11.305;11.831;11.574;11.770;11.030;11.466
DEU;;16;0;0;0;0;0;0;0;0;0;1;10;19;2;31;51;29;37;66;220;188;129;241;136;281;451;170;1.597;910;1.210;1.477;1.985;3.070;2.993;4.528;2.365;2.660;4.183;3.930;4.337;6.615;6.933;6.824;4.400;4.790;4.923;6.064;6.922;6.365;4.933;4.031;3.251;4.289;5.633;4.885;3.990;2.737;2.946;2.218;1.287;3.394
Europe;;31;0;0;0;0;0;17;42;93;78;103;150;245;287;341;686;498;592;913;1.181;1.587;2.008;2.303;2.646;3.124;4.608;566;12.510;7.279;7.173;9.277;9.138;10.565;15.367;15.947;19.081;16.423;21.251;19.689;25.337;28.370;28.657;29.693;25.042;26.098;30.224;30.460;28.640;30.740;49.931;26.808;25.126;31.999;28.902;28.974;37.388;29.478;25.881;24.043;13.319;27.911
Americas;;20;0;1;0;0;0;3;0;0;37;1;7;3;4;18;18;27;26;42;78;72;158;156;89;401;400;430;771;662;920;1.567;2.222;1.834;6.712;6.467;7.602;9.357;12.211;11.577;13.638;20.357;20.050;22.560;21.691;23.432;30.285;29.044;34.964;35.507;36.677;33.583;33.076;34.402;39.927;39.114;42.801;34.845;33.749;31.681;32.092;36.048
Africa;;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;4;3;10;3;19;0;40;8;13;15;16;47;78;61;89;84;122;182;205;221;288;401;467;540;577;583;391;561;470;620;633;701;906;698;733;706;666;804;830;691;725;867;797;973;954
Oceania;;15;0;0;0;0;0;0;0;0;0;0;0;0;1;10;2;3;9;15;3;6;4;13;15;16;21;0;75;51;49;80;79;124;127;127;299;532;138;425;375;529;419;580;407;458;257;365;347;287;307;228;181;158;169;127;152;117;32;57;81;45
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHN;Cosmetics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;Cosmetics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
