Continent;Region;Country;ID;20/2/15;20/2/16;20/2/17;20/2/18;20/2/19;20/2/20;20/2/21;20/2/22;20/2/23;20/2/24;20/2/25;20/2/26;20/2/27;20/2/28;20/2/29;20/3/1;20/3/2;20/3/3;20/3/4;20/3/5;20/3/6;20/3/7;20/3/8;20/3/9;20/3/10;20/3/11;20/3/12;20/3/13;20/3/14;20/3/15;20/3/16;20/3/17;20/3/18;20/3/19;20/3/20;20/3/21;20/3/22;20/3/23;20/3/24;20/3/25;20/3/26;20/3/27;20/3/28;20/3/29;20/3/30;20/3/31;20/4/1;20/4/2;20/4/3;20/4/4;20/4/5;20/4/6;20/4/7;20/4/8;20/4/9;20/4/10;20/4/11;20/4/12;20/4/13;20/4/14;20/4/15
Europe;Southern Europe;Spain;ESP;2;0;0;0;0;0;0;0;0;0;4;7;2;17;13;39;36;45;57;37;141;100;173;400;622;582;0;2.955;1.159;1.407;2.144;1.806;2.162;4.053;2.447;4.964;3.394;6.368;4.749;9.630;8.271;7.933;7.516;6.875;7.846;7.967;8.195;7.947;7.134;6.969;5.478;5.029;5.267;6.278;5.002;5.051;4.754;3.804;3.268;2.442;5.103
Europe;Southern Europe;Italy;ITA;3;0;0;0;0;0;17;42;93;74;93;131;202;233;240;566;342;466;587;769;778;1.247;1.492;1.797;977;2.313;0;5.198;3.497;3.590;3.233;3.526;4.207;5.322;5.986;6.557;5.560;4.789;5.249;5.210;6.203;5.909;5.974;5.217;4.050;4.053;4.782;4.668;4.585;4.805;4.316;3.599;3.039;3.836;4.204;3.951;4.694;4.092;3.153;2.972;2.667
Asia;Southern Asia;India;IND;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;23;2;1;3;5;4;13;6;11;9;20;11;6;23;14;38;50;86;66;103;37;121;70;160;100;37;227;146;601;545;24;515;506;1.190;533;605;809;873;848;759;1.248;1.034;835
Americas;South America;Brazil;BRA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;9;0;7;5;6;7;14;99;0;11;38;121;51;249;172;228;525;378;323;307;431;432;487;352;323;1.138;1.119;1.208;1.012;1.304;770;1.031;1.873;2.136;1.922;1.546;1.089;1.465;1.238;1.832;3.058
Americas;South America;Chile;CHL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;4;0;5;10;0;20;18;13;81;46;37;0;196;103;95;114;176;220;164;304;299;230;310;289;293;373;333;424;310;344;301;430;426;529;426;286;312;392;356
Americas;South America;Argentina;ARG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;6;4;0;5;2;0;12;3;11;11;12;11;18;31;30;108;35;86;0;115;87;101;55;75;234;0;79;132;186;0;103;74;87;80;180;0;167;66;69;166
Americas;South America;French Guiana;GUF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;2;4;0;0;0;4;3;0;2;3;5;0;0;0;0;15;0;8;0;6;4;0;11;0;5;6;0;0;3;0;0;0
Americas;Caribbean;Martinique;MTQ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;6;0;6;1;3;4;9;0;12;9;4;9;0;15;12;0;0;35;7;3;5;2;4;2;1;2;0;1;0;0;2;0;1
Africa;Eastern Africa;Réunion;REU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;1;2;0;3;2;14;17;19;7;23;17;24;10;38;0;41;23;34;27;13;13;10;5;9;0;4;20;6;1;2;0;0
Asia;Southern Asia;Iran;IRN;0;0;0;0;2;3;13;10;15;18;34;44;106;143;205;385;523;835;586;591;1.234;1.076;743;595;881;958;1.075;1.289;1.365;1.209;1.053;1.178;1.192;1.046;1.237;966;1.028;1.411;1.762;2.206;2.389;2.926;3.076;2.901;3.186;3.110;2.988;2.875;2.715;2.560;2.483;2.274;2.089;1.997;1.634;1.972;1.837;1.657;1.617;1.574;1.512
Americas;South America;Ecuador;ECU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;3;3;0;0;1;1;0;2;0;0;11;0;9;21;53;88;168;139;283;192;101;91;230;192;228;101;38;278;508;415;205;97;181;101;0;703;515;2.196;96;209;63;74;255
;;;Asia;0;2.124;1.934;1.790;424;545;602;1.711;236;488;739;801;1.091;1.071;1.499;1.600;1.376;1.866;1.234;1.281;2.043;1.747;1.221;875;1.195;1.760;1.295;1.853;1.916;1.940;1.630;2.020;1.998;2.368;2.364;2.731;3.186;3.098;3.722;5.381;5.490;7.058;7.352;7.346;7.001;8.789;8.545;9.287;8.646;8.945;9.324;10.646;9.481;9.573;10.316;11.347;11.893;11.690;11.844;11.120;11.511
;;;Northern America;20;0;1;0;0;0;3;0;0;37;1;6;3;3;14;10;27;23;34;72;57;145;126;78;378;351;391;592;553;826;1.297;1.852;1.541;6.110;5.669;6.661;7.874;11.190;10.596;12.501;18.857;18.467;20.702;20.153;22.045;27.475;26.233;32.117;32.977;33.809;31.000;30.404;30.865;34.098;33.907;36.503;31.118;29.908;26.687;28.406;29.878
Europe;Western Europe;Germany;DEU;16;0;0;0;0;0;0;0;0;0;1;10;19;2;31;51;29;37;66;220;188;129;241;136;281;451;170;1.597;910;1.210;1.477;1.985;3.070;2.993;4.528;2.365;2.660;4.183;3.930;4.337;6.615;6.933;6.824;4.400;4.790;4.923;6.064;6.922;6.365;4.933;4.031;3.251;4.289;5.633;4.885;3.990;2.737;2.946;2.218;1.287;3.394
