Continent;Region;20/2/15;20/2/16;20/2/17;20/2/18;20/2/19;20/2/20;20/2/21;20/2/22;20/2/23;20/2/24;20/2/25;20/2/26;20/2/27;20/2/28;20/2/29;20/3/1;20/3/2;20/3/3;20/3/4;20/3/5;20/3/6;20/3/7;20/3/8;20/3/9;20/3/10;20/3/11;20/3/12;20/3/13;20/3/14;20/3/15;20/3/16;20/3/17;20/3/18;20/3/19;20/3/20;20/3/21;20/3/22;20/3/23;20/3/24;20/3/25;20/3/26;20/3/27;20/3/28;20/3/29;20/3/30;20/3/31;20/4/1;20/4/2;20/4/3;20/4/4;20/4/5;20/4/6;20/4/7;20/4/8;20/4/9;20/4/10;20/4/11;20/4/12;20/4/13;20/4/14;20/4/15
Africa;Eastern Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;11;15;28;31;46;57;100;124;181;246;308;364;447;514;606;657;763;877;968;1.081;1.171;1.229;1.324;1.412;1.503;1.588;1.653;1.746;1.818;1.879;2.051;2.163;2.317
Africa;Middle Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;3;3;4;5;8;10;17;21;39;55;69;90;117;139;151;159;175;190;255;273;355;412;517;726;795;917;941;968;1.048;1.074;1.199;1.209;1.233;1.250;1.304;1.408
Africa;Northern Africa;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;3;6;8;16;18;35;35;72;79;87;92;104;130;182;205;254;319;350;447;508;591;720;830;954;1.160;1.338;1.521;1.718;1.925;2.122;2.454;2.720;3.033;3.463;3.821;4.122;4.496;4.763;5.074;5.425;5.719;6.041;6.397;6.723;7.128;7.555
Africa;Southern Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;7;13;17;24;41;54;65;65;119;154;206;244;281;410;565;720;941;1.187;1.204;1.300;1.349;1.377;1.407;1.489;1.532;1.612;1.686;1.718;1.781;1.879;1.975;2.044;2.069;2.216;2.316;2.459;2.550
Africa;Western Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;5;5;6;6;6;7;8;10;10;17;21;39;53;62;80;101;134;196;240;310;414;525;612;683;753;895;995;1.059;1.248;1.336;1.470;1.603;1.744;1.932;2.150;2.380;2.672;2.782;3.078;3.357;3.539;3.798;3.976
Americas;Caribbean;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;4;5;7;10;10;10;12;16;28;45;50;64;96;116;155;224;319;459;539;635;771;915;1.053;1.306;1.506;1.608;1.895;2.152;2.322;2.501;2.562;2.878;3.031;3.246;3.479;3.796;4.138;4.353;4.627;4.904;5.072;5.509
Americas;Central America;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;5;5;5;5;7;7;12;16;17;31;47;64;91;115;151;206;244;319;428;566;748;875;948;1.122;1.358;1.635;1.952;2.237;2.524;2.841;3.022;3.406;3.728;4.186;4.547;5.048;5.495;6.042;6.805;7.393;8.063;8.744;9.390;9.854;10.384
Americas;Northern America;20;20;21;21;21;21;24;24;24;61;62;68;71;74;88;98;125;148;182;254;311;456;582;660;1.038;1.389;1.780;2.372;2.925;3.751;5.048;6.900;8.441;14.551;20.220;26.881;34.755;45.945;56.541;69.042;87.899;106.366;127.068;147.221;169.266;196.741;222.974;255.091;288.068;321.877;352.877;383.281;414.146;448.244;482.151;518.654;549.772;579.680;606.367;634.773;664.651
Americas;South America;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;8;11;16;22;34;45;67;74;96;129;148;298;363;428;648;931;1.166;1.654;2.274;2.982;4.143;4.957;5.769;6.596;7.716;8.884;10.172;11.225;12.223;14.429;16.802;19.095;21.124;23.473;25.379;27.397;30.272;35.321;39.448;44.816;47.658;50.544;54.615;57.669;62.872
Asia;Central Asia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;10;16;43;53;70;88;110;117;124;164;185;230;296;390;512;545;622;672;756;821;941;1.073;1.335;1.445;1.542;1.643;1.734;1.971;2.193;2.508;2.827;3.046
