Continent;Region;20/2/15;20/2/16;20/2/17;20/2/18;20/2/19;20/2/20;20/2/21;20/2/22;20/2/23;20/2/24;20/2/25;20/2/26;20/2/27;20/2/28;20/2/29;20/3/1;20/3/2;20/3/3;20/3/4;20/3/5;20/3/6;20/3/7;20/3/8;20/3/9;20/3/10;20/3/11;20/3/12;20/3/13;20/3/14;20/3/15;20/3/16;20/3/17;20/3/18;20/3/19;20/3/20;20/3/21;20/3/22;20/3/23;20/3/24;20/3/25;20/3/26;20/3/27;20/3/28;20/3/29;20/3/30;20/3/31;20/4/1;20/4/2;20/4/3;20/4/4;20/4/5;20/4/6;20/4/7;20/4/8;20/4/9;20/4/10;20/4/11;20/4/12;20/4/13;20/4/14;20/4/15
CHN;Eastern Asia;68.357;2.099;1.918;1.775;407;453;473;1.450;16;214;508;405;433;326;427;575;200;125;120;151;151;79;47;36;22;28;8;8;26;21;20;18;25;27;46;38;86;24;63;46;78;49;60;43;35;49;31;34;36;15;31;39;32;66;61;42;62;116;74;90;45
Asia;Eastern Asia;145;20;13;11;12;89;113;247;201;250;161;311;531;589;832;603;622;871;478;498;568;490;320;174;113;307;118;178;188;153;92;144;147;222;201;230;316;92;191;258;245;253;430;373;127;260;386;453;260;640;117;597;323;433;463;908;519;782;658;318;489
Asia;South-eastern Asia;147;4;3;4;3;0;1;0;4;0;4;5;1;1;12;8;5;9;14;11;51;23;37;42;47;85;15;158;145;299;216;276;292;320;314;457;527;551;488;558;592;541;737;834;608;981;721;819;975;501;736;886;672;738;1.001;712;998;1.048;1.174;1.115;1.103
Asia;Southern Asia;5;0;0;0;2;3;13;10;15;19;34;46;106;143;207;385;525;836;609;593;1.237;1.079;758;599;907;972;1.087;1.311;1.397;1.260;1.160;1.320;1.280;1.251;1.353;1.290;1.163;1.635;1.941;2.429;2.616;3.283;3.306;3.056;3.589;3.505;3.839;3.768;3.025;3.244;3.406;4.128;2.995;2.909;2.822;3.182;3.101;2.842;3.380;3.225;3.189
Asia;Western Asia;8;1;0;0;0;0;2;4;0;5;32;34;20;12;21;29;24;25;13;28;36;76;59;24;106;368;67;194;158;203;136;235;244;531;432;694;1.087;789;999;2.069;1.914;2.866;2.725;2.918;2.609;3.917;3.518;4.129;4.285;4.425;4.902;4.734;5.349;5.330;5.868;6.412;6.976;6.680;6.243;6.053;6.466
Asia;Central Asia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;6;27;10;17;18;22;7;7;40;21;45;66;94;122;33;77;50;84;65;120;132;262;110;97;101;91;237;222;315;319;219
Europe;Southern Europe;5;0;0;0;0;0;17;42;93;74;98;142;207;253;254;609;388;515;657;840;948;1.362;1.724;2.199;1.678;2.977;61;8.414;4.824;5.261;5.544;5.607;6.474;9.842;8.975;12.022;9.659;11.905;10.625;15.882;15.386;15.061;14.928;13.302;12.684;13.572;14.333;13.948;13.224;12.928;11.184;9.570;9.687;11.306;10.617;11.149;10.561;9.058;7.373;6.684;9.048
Europe;Western Europe;29;0;0;0;0;0;0;0;0;0;6;14;48;21;97;100;123;78;214;419;684;623;621;378;1.115;1.343;239;4.227;2.394;2.667;4.242;4.361;5.776;7.085;9.012;7.132;7.362;11.212;9.830;10.353;15.216;14.989;16.432;11.198;13.083;15.666;14.971;13.164;15.349;34.390;10.348;11.343;18.573;13.088;13.634;15.055;11.045;9.146;8.692;-3.393;10.375
Europe;Eastern Europe;2;0;0;0;0;0;0;0;0;0;0;1;0;3;0;3;1;3;12;7;23;3;38;7;38;89;42;181;178;125;187;258;271;459;401;519;449;516;680;837;892;1.236;1.171;1.296;1.213;1.464;1.421;2.238;2.114;2.134;1.913;2.021;2.687;2.895;3.415;3.790;3.524;3.822;4.020;4.342;5.293
Europe;Northern Europe;11;0;0;0;0;0;0;0;0;4;0;3;9;12;21;25;15;33;96;135;120;149;161;198;574;650;394;1.285;793;330;781;897;1.114;974;2.087;1.773;1.613;1.801;2.484;2.602;3.491;4.304;3.986;3.646;3.908;4.445;5.799;6.212;6.418;5.412;7.394;5.443;5.341;7.246;6.193;11.384;7.085;6.801;6.176;6.973;6.589
Americas;Northern America;20;0;1;0;0;0;3;0;0;37;1;6;3;3;14;10;27;23;34;72;57;145;126;78;378;351;391;592;553;826;1.297;1.852;1.541;6.110;5.669;6.661;7.874;11.190;10.596;12.501;18.857;18.467;20.702;20.153;22.045;27.475;26.233;32.117;32.977;33.809;31.000;30.404;30.865;34.098;33.907;36.503;31.118;29.908;26.687;28.406;29.878
Americas;Central America;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;2;0;5;4;1;14;16;17;27;24;36;55;38;75;109;138;182;127;73;174;236;277;317;285;287;317;181;384;322;458;361;501;447;547;763;588;670;681;646;464;530
Americas;Caribbean;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;2;3;0;0;2;4;12;17;5;14;32;20;39;69;95;140;80;96;136;144;138;253;200;102;287;257;170;179;61;316;153;215;233;317;342;215;274;277;168;437
Americas;South America;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;6;0;3;5;6;12;11;22;7;22;33;19;150;65;65;220;283;235;488;620;708;1.161;814;812;827;1.120;1.168;1.288;1.053;998;2.206;2.373;2.293;2.029;2.349;1.906;2.018;2.875;5.049;4.127;5.368;2.842;2.886;4.071;3.054;5.203
Africa;Eastern Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;4;4;13;3;15;11;43;24;57;65;62;56;83;67;92;51;106;114;91;113;90;58;95;88;91;85;65;93;72;61;172;112;154
Africa;Middle Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;3;2;7;4;18;16;14;21;27;22;12;8;16;15;65;18;82;57;105;209;69;122;24;27;80;26;125;10;24;17;54;104
Africa;Northern Africa;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;2;8;2;17;0;37;7;8;5;12;26;52;23;49;65;31;97;61;83;129;110;124;206;178;183;197;207;197;332;266;313;430;358;301;374;267;311;351;294;322;356;326;405;427
Africa;Southern Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;4;6;4;7;17;13;11;0;54;35;52;38;37;129;155;155;221;246;17;96;49;28;30;82;43;80;74;32;63;98;96;69;25;147;100;143;91
Africa;Western Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2;0;1;0;0;1;1;2;0;7;4;18;14;9;18;21;33;62;44;70;104;111;87;71;70;142;100;64;189;88;134;133;141;188;218;230;292;110;296;279;182;259;178
Oceania;Micronesia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oceania;Oceania;15;0;0;0;0;0;0;0;0;0;0;0;0;1;10;2;3;9;15;3;6;4;13;15;16;21;0;72;51;49;80;79;124;121;121;293;528;133;415;370;524;418;580;407;452;256;364;343;285;302;226;177;152;165;127;151;117;30;55;81;45
Oceania;Polynesia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;5;4;3;0;7;0;5;0;0;0;6;0;1;0;2;1;1;1;5;4;0;0;0;2;2;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHN;Cosmetics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Southern EU;Cosmetics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
