Last Update;ID;Confirmed;Deaths;Recovered;Active
;;;;;
;;;;;
;;;;;
;;130.450;3.569;0;0
2020-04-16 12:43;BW;25.881;802;;
2020-04-16 12:43;BY;35.142;1.049;;
2020-04-16 12:43;BE;4.848;74;;
2020-04-16 12:43;BB;2.058;54;;
2020-04-16 12:43;HB;507;21;;
2020-04-16 12:43;HH;3.953;80;;
2020-04-16 12:43;HE;6.470;187;;
2020-04-16 12:43;MV;634;13;;
2020-04-16 12:43;NI;8.188;248;;
2020-04-16 12:43;NW;26.383;663;;
2020-04-16 12:43;RP;5.087;87;;
2020-04-16 12:43;SL;2.201;71;;
2020-04-16 12:43;SN;3.955;94;;
2020-04-16 12:43;ST;1.248;26;;
2020-04-16 12:43;SH;2.294;55;;
2020-04-16 12:43;TH;1.601;45;;
2020-04-16 12:43;REP;0;0;;
