ID;Bundesland;Bevölkerung;Infiziert;Verstorben;28.02.20 10:00;29.02.20 10:00;01.03.20 10:00;01.03.20 15:00;02.03.20 10:00;02.03.20 15:00;03.03.20 10:00;03.03.20 15:00;04.03.20 10:00;04.03.20 15:00;05.03.20 08:00;05.03.20 15:00;06.03.20 07:00;06.03.20 15:00;07.03.20 08:00;07.03.20 15:00;08.03.20 08:00;08.03.20 15:00;09.03.20 08:00;09.03.20 15:00;;10.03.20 15:00;;11.03.20 15:00;;12.03.20 15:00;;13.03.20 15:00;;14.03.20 15:00;;15.03.20 15:00;;16.03.20 15:00;;17.03.20 19:52;;18.03.20 14:33;;19.03.20 10:00;;20.03.20 09:56;;21.03.20 10:00;;22.03.20 10:00;;23.03.20 09:00;;24.03.20 22:54;;25.03.20 16:01;;;;26.03.20 22:19;;27.03.20 11:00;;28.03.20 11:06;;29.03.20 14:05;;30.03.20 11:09;;31.03.20 12:47;;01.04.20 22:06;;02.04.20 10:15;;03.04.20 12:15;;04.04.20 14:09;;05.04.20 13:36;;06.04.20 13:36;;07.04.20 12:14;;08.04.20 11:10;;09.04.20 12:49;;10.04.20 14:18;;11.04.20 22:27;;12.04.20 14:47;;13.04.20 19:56;;14.04.20 12:57;;15.04.20 12:14;;16.04.20 12:43;;;;;;;;
;;;;;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;;Tote;;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Fälle;Tote;Heile
;;80.322.251;0,162 %;2,74 %;53;66;117;129;150;157;188;196;240;262;349;400;534;639;684;795;847;902;1.112;1.139;2;1.296;2;1.567;3;2.369;5;3.062;5;3.795;8;4.838;12;6.012;13;7.156;12;8.198;12;10.999;20;13.957;31;16.662;46;18.610;55;22.672;86;27.436;114;31.554;0,039 %;149;0,47 %;36.508;198;42.288;253;48.582;325;52.547;389;57.298;455;61.913;583;67.366;732;73.522;872;79.696;1.017;85.778;1.158;91.714;1.342;95.391;1.434;99.225;1.607;103.228;1.861;108.202;2.107;113.525;2.373;117.658;2.544;120.479;2.673;123.016;2.799;125.098;2.969;127.584;3.254;130.450;3.569;0;0;0;0;0;0;0
BW;Baden-Württemberg;10.483.012;0,084 %;3,10 %;10;14;15;15;19;20;26;28;44;50;65;73;91;96;116;170;182;182;199;204;0;237;0;277;0;454;1;454;1;569;2;827;3;1.105;3;1.479;2;1.609;2;2.155;6;2.746;10;3.668;16;3.807;21;3.811;21;5.348;30;6.069;0,019 %;37;0,61 %;7.283;56;8.161;70;9.781;101;9.794;101;10.943;119;12.334;165;13.410;197;14.662;241;16.059;285;17.014;316;18.614;367;19.395;387;20.141;433;20.680;464;21.603;519;22.433;570;23.617;622;24.078;649;24.570;677;25.040;711;25.438;767;25.881;802;;0;;0;;0;
BY;Bayern;12.412.404;0,121 %;2,99 %;15;15;19;23;25;26;35;37;48;48;52;70;79;117;117;134;148;172;256;256;0;314;0;366;0;500;1;558;1;681;1;886;4;1.067;5;1.109;4;1.243;4;1.692;8;2.401;12;2.960;19;3.650;21;4.892;26;5.754;30;6.558;0,014 %;37;0,56 %;7.993;47;9.481;55;11.150;77;12.881;107;13.989;127;14.810;162;16.497;225;18.496;268;20.237;307;21.908;349;23.846;396;24.974;437;26.163;481;27.564;564;28.827;635;30.363;703;31.453;747;32.282;786;33.015;820;33.569;872;34.294;954;35.142;1.049;;0;;0;;0;
BE;Berlin;3.291.932;-0,015 %;1,53 %;;;;;1;1;3;3;6;7;9;13;15;19;24;28;28;40;40;48;0;48;0;90;0;137;0;174;0;216;0;265;0;300;0;345;0;391;0;573;0;731;0;866;1;1.024;1;1.077;1;1.220;1;1.428;0,004 %;2;0,14 %;1.656;4;1.955;8;2.161;8;2.360;9;2.464;11;2.575;13;2.754;16;2.970;19;3.202;20;3.471;22;3.613;24;3.670;26;3.845;28;4.028;32;4.202;37;4.349;42;4.458;46;4.567;50;4.601;51;4.668;56;4.722;62;4.848;74;;0;;0;;0;
BB;Brandenburg;2.465.928;-0,079 %;2,62 %;;;;;;;1;1;1;1;1;1;1;2;2;2;2;4;6;6;0;9;0;24;0;30;0;44;0;61;0;84;0;94;0;73;0;92;0;134;0;192;0;254;0;274;0;288;0;343;0;429;-0,022 %;1;0,23 %;477;1;537;1;645;1;721;1;761;2;798;2;881;4;995;7;1.075;9;1.211;12;1.305;17;1.345;19;1.384;20;1.472;22;1.578;30;1.691;37;1.764;37;1.857;38;1.880;38;1.916;40;1.950;42;2.058;54;;0;;0;;0;
HB;Bremen;650.715;-0,084 %;4,14 %;;;1;1;1;1;1;2;2;3;3;3;3;4;4;4;4;4;4;4;0;4;0;21;0;38;0;42;0;50;0;53;0;56;0;57;0;69;0;80;0;121;0;142;0;165;0;170;0;183;0;200;-0,009 %;0;0,00 %;211;1;241;1;260;2;275;2;286;2;294;4;311;5;327;6;341;6;354;6;394;6;397;8;399;9;424;10;445;11;454;13;469;15;480;15;486;17;492;20;500;21;507;21;;0;;0;;0;
HH;Hamburg;1.675.840;0,073 %;2,02 %;;;1;1;1;2;2;2;2;3;3;5;8;11;12;13;13;13;17;17;0;29;0;48;0;88;0;99;0;158;0;162;0;260;0;310;0;358;0;432;0;586;0;587;0;872;0;943;0;1.043;0;1.262;0,036 %;0;0,00 %;1.265;0;1.693;2;1.765;2;1.846;4;2.053;5;2.191;9;2.311;14;2.406;14;2.596;16;2.697;16;2.945;19;2.993;19;3.059;20;3.165;23;3.320;44;3.551;53;3.663;56;3.742;56;3.770;56;3.808;59;3.869;67;3.953;80;;0;;0;;0;
HE;Hessen;5.988.463;-0,054 %;2,89 %;;3;8;8;10;10;10;12;12;12;14;14;15;16;16;17;17;19;20;26;0;35;0;48;0;99;0;148;0;203;0;286;0;342;0;373;0;432;0;682;0;813;1;1.080;2;1.175;2;1.347;3;1.620;4;1.754;-0,010 %;4;0,23 %;2.157;6;2.323;7;2.604;9;2.605;9;3.091;13;3.283;17;3.445;21;3.707;27;3.993;33;4.279;42;4.575;56;4.674;61;4.837;73;4.965;84;5.242;100;5.694;111;5.808;120;5.859;123;6.114;135;6.183;147;6.347;173;6.470;187;;0;;0;;0;
MV;Mecklenburg-Vorpommern;1.620.815;-0,123 %;2,05 %;;;;;;0;0;0;3;4;4;4;5;5;5;5;7;8;8;10;0;13;0;17;0;23;0;33;0;45;0;50;0;51;0;45;0;56;0;98;0;131;0;165;0;172;0;172;0;199;0;218;-0,026 %;0;0,00 %;244;0;259;0;308;0;348;1;356;1;366;1;406;3;438;3;468;4;501;5;523;5;528;6;531;8;555;11;572;11;586;11;601;11;605;11;618;11;619;11;624;11;634;13;;0;;0;;0;
