Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;#
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Asia;Southern Asia;93;AFG;Afghanistan;;;;;;;;32.225.560;1
Europe;Southern Europe;355;ALB;Albania;;;;;;;;2.862.427;2
Africa;Northern Africa;213;DZA;Algeria;;;;;;;;43.000.000;3
Europe;Southern Europe;376;AND;Andorra;;;;;;;;77.543;4
Africa;Middle Africa;244;AGO;Angola;;;;;;;;31.127.674;5
Americas;Caribbean;1;ATG;Antigua and Barbuda;;;;;;;;96.453;6
Americas;South America;54;ARG;Argentina;;;;;;;;44.938.712;7
Asia;Western Asia;374;ARM;Armenia;;;;;;;;2.957.500;8
Oceania;Oceania;61;AUS;Australia;;X;;;;;;25.631.395;9
Oceania;Oceania;61;AUS;Australia;;X;;;;;;25.631.395;10
Oceania;Oceania;61;AUS;Australia;;X;;;;;;25.631.395;11
Oceania;Oceania;61;AUS;Australia;;X;;;;;;25.631.395;12
Oceania;Oceania;61;AUS;Australia;;X;;;;;;25.631.395;13
Oceania;Oceania;61;AUS;Australia;;X;;;;;;25.631.395;14
Oceania;Oceania;61;AUS;Australia;;X;;;;;;25.631.395;15
Oceania;Oceania;61;AUS;Australia;;X;;;;;;25.631.395;16
Europe;Western Europe;43;AUT;Austria;;;;;;;;8.902.600;17
Asia;Western Asia;994;AZE;Azerbaijan;;;;;;;;10.067.108;18
Americas;Caribbean;1;BHS;Bahamas;;;;;;;;385.340;19
Asia;Western Asia;973;BHR;Bahrain;;;;;;;;1.543.300;20
Asia;Southern Asia;880;BGD;Bangladesh;;;;;;;;168.186.262;21
Americas;Caribbean;1;BRB;Barbados;;;;;;;;287.025;22
Europe;Eastern Europe;375;BLR;Belarus;;;;;;;;9.413.446;23
Europe;Western Europe;32;BEL;Belgium;;;;;;;;11.524.454;24
Africa;Western Africa;229;BEN;Benin;;;;;;;;11.733.059;25
Asia;Southern Asia;975;BTN;Bhutan;;;;;;;;741.672;26
Americas;South America;591;BOL;Bolivia;;;;;;;;11.469.896;27
Europe;Southern Europe;387;BIH;Bosnia and Herzegovina;;;;;;;;3.301.000;28
Americas;South America;55;BRA;Brazil;;;;;;;;211.191.084;29
Asia;South-eastern Asia;673;BRN;Brunei;;;;;;;;442.400;30
Europe;Eastern Europe;359;BGR;Bulgaria;;;;;;;;7.000.039;31
Africa;Western Africa;226;BFA;Burkina Faso;;;;;;;;20.870.060;32
Africa;Western Africa;238;CPV;Cape Verde;;;;;;;;550.483;33
Asia;South-eastern Asia;855;KHM;Cambodia;;;;;;;;15.288.489;34
Africa;Middle Africa;237;CMR;Cameroon;;;;;;;;25.876.000;35
Americas;Northern America;1;CAN;Canada;;X;;;;;;37.940.493;36
Americas;Northern America;1;CAN;Canada;;X;;;;;;37.940.493;37
Americas;Northern America;1;CAN;Canada;;X;;;;;;37.940.493;38
Americas;Northern America;1;CAN;Canada;;X;;;;;;37.940.493;39
Americas;Northern America;1;CAN;Canada;;X;;;;;;37.940.493;40
