Continent;Region;20/1/28;20/1/29;20/1/30;20/1/31;20/2/1;20/2/2;20/2/3;20/2/4;20/2/5;20/2/6;20/2/7;20/2/8;20/2/9;20/2/10;20/2/11;20/2/12;20/2/13;20/2/14;20/2/15;20/2/16;20/2/17;20/2/18;20/2/19;20/2/20;20/2/21;20/2/22;20/2/23;20/2/24;20/2/25;20/2/26;20/2/27;20/2/28;20/2/29;20/3/1;20/3/2;20/3/3;20/3/4;20/3/5;20/3/6;20/3/7;20/3/8;20/3/9;20/3/10;20/3/11;20/3/12;20/3/13;20/3/14;20/3/15;20/3/16;20/3/17;20/3/18;20/3/19;20/3/20;20/3/21;20/3/22;20/3/23;20/3/24;20/3/25;20/3/26;20/3/27;20/3/28
CHN;;5.501;576;2.054;1.659;2.088;4.737;3.086;3.989;3.729;3.144;3.522;2.703;3.012;2.516;2.021;372;15.133;6.460;2.055;2.099;1.918;1.775;407;453;473;1.450;16;214;508;405;433;326;427;575;200;125;120;151;151;79;47;36;22;28;8;8;26;21;20;18;25;27;46;38;86;24;63;46;78;49;60
Asia;;57;9;11;22;14;10;3;20;13;14;8;21;13;20;16;6;13;13;22;25;16;15;17;92;129;261;220;274;231;396;658;745;1.072;1.025;1.176;1.741;1.114;1.130;1.892;1.668;1.174;839;1.173;1.732;1.287;1.845;1.890;1.919;1.610;2.002;1.973;2.341;2.318;2.693;3.100;3.074;3.659;5.335;5.412;7.009;7.292
DEU;;4;0;0;1;3;2;2;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;19;2;31;51;29;37;66;220;188;129;241;136;281;451;170;1.597;910;1.210;1.477;1.985;3.070;2.993;4.528;2.365;2.660;4.183;3.930;4.337;6.615;6.933;6.824
Europe;;4;2;0;7;2;0;0;1;0;0;2;5;1;5;0;1;0;0;1;0;0;0;0;0;17;42;93;78;103;150;245;287;341;686;498;592;913;1.181;1.587;2.008;2.303;2.646;3.124;4.608;566;12.510;7.279;7.173;9.277;9.138;10.565;15.367;15.947;19.081;16.423;21.251;19.689;25.337;28.370;28.657;29.693
Americas;;7;0;0;4;1;0;3;0;1;0;2;0;0;0;1;0;1;0;0;0;1;0;0;0;3;0;0;37;1;7;3;4;18;18;27;26;42;78;72;158;156;89;401;400;430;771;662;920;1.567;2.222;1.834;6.642;6.364;7.664;9.468;12.211;11.577;13.638;20.357;20.050;22.573
Africa;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;4;3;10;3;19;0;40;8;13;15;16;47;78;61;89;84;122;182;205;221;288;401;467;540;577;583;391
Oceania;;5;1;3;0;3;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;2;3;9;15;3;6;4;13;15;16;21;0;75;51;49;80;79;124;127;127;299;532;138;425;375;529;419;580
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHN;Cosmetics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;Cosmetics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
