Continent;Region;Country;ID;20/1/28;20/1/29;20/1/30;20/1/31;20/2/1;20/2/2;20/2/3;20/2/4;20/2/5;20/2/6;20/2/7;20/2/8;20/2/9;20/2/10;20/2/11;20/2/12;20/2/13;20/2/14;20/2/15;20/2/16;20/2/17;20/2/18;20/2/19;20/2/20;20/2/21;20/2/22;20/2/23;20/2/24;20/2/25;20/2/26;20/2/27;20/2/28;20/2/29;20/3/1;20/3/2;20/3/3;20/3/4;20/3/5;20/3/6;20/3/7;20/3/8;20/3/9;20/3/10;20/3/11;20/3/12;20/3/13;20/3/14;20/3/15;20/3/16;20/3/17;20/3/18;20/3/19;20/3/20;20/3/21;20/3/22;20/3/23;20/3/24;20/3/25;20/3/26;20/3/27;20/3/28
Asia;Eastern Asia;South Korea;KOR;4;0;0;7;1;3;0;1;3;4;1;0;1;2;1;0;0;0;0;1;1;1;0;73;100;229;169;231;144;284;505;571;813;586;599;851;435;467;505;448;273;164;35;242;114;110;107;76;74;84;93;152;87;147;162;0;76;100;104;91;146
Asia;Southern Asia;Iran;IRN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;13;10;15;18;34;44;106;143;205;385;523;835;586;591;1.234;1.076;743;595;881;958;1.075;1.289;1.365;1.209;1.053;1.178;1.192;1.046;1.237;966;1.028;1.411;1.762;2.206;2.389;2.926;3.076
Europe;Southern Europe;Spain;ESP;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;2;17;13;39;36;45;57;37;141;100;173;400;622;582;0;2.955;1.159;1.407;2.144;1.806;2.162;4.053;2.447;4.964;3.394;6.368;4.749;9.630;8.271;7.933;7.516
Europe;Western Europe;Germany;DEU;4;0;0;1;3;2;2;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;19;2;31;51;29;37;66;220;188;129;241;136;281;451;170;1.597;910;1.210;1.477;1.985;3.070;2.993;4.528;2.365;2.660;4.183;3.930;4.337;6.615;6.933;6.824
Europe;Western Europe;France;FRA;4;1;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;4;20;19;43;30;61;13;81;92;276;296;177;83;575;497;0;1.380;808;30;2.134;1.019;1.391;1.828;1.741;1.670;1.736;3.838;2.448;2.929;3.922;3.809;4.611
Asia;Eastern Asia;South Korea;KOR;4;0;0;7;1;3;0;1;3;4;1;0;1;2;1;0;0;0;0;1;1;1;0;73;100;229;169;231;144;284;505;571;813;586;599;851;435;467;505;448;273;164;35;242;114;110;107;76;74;84;93;152;87;147;162;0;76;100;104;91;146
Europe;Southern Europe;Italy;ITA;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17;42;93;74;93;131;202;233;240;566;342;466;587;769;778;1.247;1.492;1.797;977;2.313;0;5.198;3.497;3.590;3.233;3.526;4.207;5.322;5.986;6.557;5.560;4.789;5.249;5.210;6.203;5.909;5.974
Europe;Western Europe;Austria;AUT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;6;5;4;3;8;12;14;24;25;27;51;64;56;202;151;205;158;314;314;367;375;426;768;892;809;305;1.321;748;614
;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;Asia;0;585;2.065;1.681;2.102;4.747;3.089;4.009;3.742;3.158;3.530;2.724;3.025;2.536;2.037;378;15.146;6.473;2.077;2.124;1.934;1.790;424;545;602;1.711;236;488;739;801;1.091;1.071;1.499;1.600;1.376;1.866;1.234;1.281;2.043;1.747;1.221;875;1.195;1.760;1.295;1.853;1.916;1.940;1.630;2.020;1.998;2.368;2.364;2.731;3.186;3.098;3.722;5.381;5.490;7.058;7.352
;;;Southern Asia;2;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;13;10;15;19;34;46;106;143;207;385;525;836;609;593;1.237;1.079;758;599;907;972;1.087;1.311;1.397;1.260;1.160;1.320;1.280;1.251;1.353;1.290;1.163;1.635;1.941;2.429;2.616;3.283;3.306
Americas;South America;Ecuador;ECU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;3;3;0;0;1;1;0;2;0;0;11;0;9;21;53;88;168;139;283;192;101;91;230;192;228
