Continent;Region;20/1/28;20/1/29;20/1/30;20/1/31;20/2/1;20/2/2;20/2/3;20/2/4;20/2/5;20/2/6;20/2/7;20/2/8;20/2/9;20/2/10;20/2/11;20/2/12;20/2/13;20/2/14;20/2/15;20/2/16;20/2/17;20/2/18;20/2/19;20/2/20;20/2/21;20/2/22;20/2/23;20/2/24;20/2/25;20/2/26;20/2/27;20/2/28;20/2/29;20/3/1;20/3/2;20/3/3;20/3/4;20/3/5;20/3/6;20/3/7;20/3/8;20/3/9;20/3/10;20/3/11;20/3/12;20/3/13;20/3/14;20/3/15;20/3/16;20/3/17;20/3/18;20/3/19;20/3/20;20/3/21;20/3/22;20/3/23;20/3/24;20/3/25;20/3/26;20/3/27;20/3/28
Africa;Eastern Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;11;15;28;31;46;57;100;124;181;246;308;364;447;514;606
Africa;Middle Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;3;3;4;5;8;10;17;21;39;55;69;90;117;139;151;159;175;190
Africa;Northern Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;3;6;8;16;18;35;35;72;79;87;92;104;130;182;205;254;319;350;447;508;591;720;830;954;1.160;1.338;1.521;1.718
Africa;Southern Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;7;13;17;24;41;54;65;65;119;154;206;244;281;410;565;720;941;1.187;1.204
Africa;Western Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;5;5;6;6;6;7;8;10;10;17;21;39;53;62;80;101;134;196;240;310;414;525;612;683;753
Americas;Caribbean;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;4;5;7;10;10;10;12;16;28;45;50;64;96;116;155;224;319;459;539;635;771;915;1.053;1.306
Americas;Central America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;5;5;5;5;7;7;12;16;17;31;47;64;91;115;151;206;244;319;428;566;748;875;948;1.122;1.358;1.635;1.952
Americas;Northern America;7;7;7;11;12;12;15;15;16;16;18;18;18;18;19;19;20;20;20;20;21;21;21;21;24;24;24;61;62;68;71;74;88;98;125;148;182;254;311;456;582;660;1.038;1.389;1.780;2.372;2.925;3.751;5.048;6.900;8.441;14.481;20.047;26.770;34.755;45.945;56.541;69.042;87.899;106.366;127.081
Americas;South America;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;8;11;16;22;34;45;67;74;96;129;148;298;363;428;648;931;1.166;1.654;2.274;2.982;4.143;4.957;5.769;6.596;7.716;8.884;10.172
Asia;Central Asia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;10;16;43;53;70;88;110;117;124;164;185;230;296;390
Asia;Eastern Asia;5.528;6.106;8.165;9.838;11.933;16.675;19.761;23.756;27.492;30.648;34.175;36.880;39.898;42.425;44.458;44.833;59.969;66.433;68.502;70.621;72.552;74.338;74.757;75.299;75.885;77.582;77.799;78.263;78.932;79.648;80.612;81.527;82.786;83.964;84.786;85.782;86.380;87.029;87.748;88.317;88.684;88.894;89.029;89.364;89.490;89.676;89.890;90.064;90.176;90.338;90.510;90.759;91.006;91.274;91.676;91.792;92.046;92.350;92.673;92.975;93.465
Asia;South-eastern Asia;28;31;36;44;51;54;56;70;76;78;81;98;105;113;117;120;130;139;147;151;154;158;161;161;162;162;166;166;170;175;176;177;189;197;202;211;225;236;287;310;347;389;436;521;536;694;839;1.138;1.354;1.630;1.922;2.242;2.556;3.013;3.540;4.091;4.579;5.137;5.729;6.270;7.007
Asia;Southern Asia;2;2;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;7;10;23;33;48;67;101;147;253;396;603;988;1.513;2.349;2.958;3.551;4.788;5.867;6.625;7.224;8.131;9.103;10.190;11.501;12.898;14.158;15.318;16.638;17.918;19.169;20.522;21.812;22.975;24.610;26.551;28.980;31.596;34.879;38.185
Asia;Western Asia;0;4;4;4;4;5;5;5;5;5;5;7;7;8;8;8;8;8;8;9;9;9;9;9;11;15;15;20;52;86;106;118;139;168;192;217;230;258;294;370;429;453;559;927;994;1.188;1.346;1.549;1.685;1.920;2.164;2.695;3.127;3.821;4.908;5.697;6.696;8.765;10.679;13.545;16.270
Europe;Eastern Europe;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;6;6;9;10;13;25;32;55;58;96;103;141;230;272;453;631;756;943;1.201;1.472;1.931;2.332;2.851;3.300;3.816;4.496;5.333;6.225;7.461;8.632
Europe;Northern Europe;0;1;1;4;4;4;4;4;4;4;5;5;5;10;10;11;11;11;11;11;11;11;11;11;11;11;11;15;15;18;27;39;60;85;100;133;229;364;484;633;794;992;1.566;2.216;2.610;3.895;4.688;5.018;5.799;6.696;7.810;8.784;10.871;12.644;14.257;16.058;18.542;21.144;24.635;28.939;32.925
Europe;Southern Europe;0;0;0;2;3;3;3;3;3;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;22;64;157;231;329;471;678;931;1.185;1.794;2.182;2.697;3.354;4.194;5.142;6.504;8.228;10.427;12.105;15.082;15.143;23.557;28.381;33.642;39.186;44.793;51.267;61.109;70.084;82.106;91.765;103.670;114.295;130.177;145.563;160.624;175.552
Europe;Western Europe;8;9;9;10;14;16;18;19;19;19;20;25;26;26;28;28;28;28;29;29;29;29;29;29;29;29;29;29;35;49;97;118;215;315;438;516;730;1.149;1.833;2.456;3.077;3.455;4.570;5.913;6.152;10.379;12.773;15.440;19.682;24.043;29.819;36.904;45.916;53.048;60.410;71.622;81.452;91.805;107.021;122.010;138.442
Oceania;Micronesia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oceania;Oceania;5;6;9;9;12;12;12;13;13;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;16;26;28;31;40;55;58;64;68;81;96;112;133;133;205;256;305;385;464;588;709;830;1.123;1.651;1.784;2.199;2.569;3.093;3.511;4.091
Oceania;Polynesia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;6;11;15;18;18;25;25;30;30;30
