Continent;Region;20/1/28;20/1/29;20/1/30;20/1/31;20/2/1;20/2/2;20/2/3;20/2/4;20/2/5;20/2/6;20/2/7;20/2/8;20/2/9;20/2/10;20/2/11;20/2/12;20/2/13;20/2/14;20/2/15;20/2/16;20/2/17;20/2/18;20/2/19;20/2/20;20/2/21;20/2/22;20/2/23;20/2/24;20/2/25;20/2/26;20/2/27;20/2/28;20/2/29;20/3/1;20/3/2;20/3/3;20/3/4;20/3/5;20/3/6;20/3/7;20/3/8;20/3/9;20/3/10;20/3/11;20/3/12;20/3/13;20/3/14;20/3/15;20/3/16;20/3/17;20/3/18;20/3/19;20/3/20;20/3/21;20/3/22;20/3/23;20/3/24;20/3/25;20/3/26;20/3/27;20/3/28
CHN;Eastern Asia;5.501;576;2.054;1.659;2.088;4.737;3.086;3.989;3.729;3.144;3.522;2.703;3.012;2.516;2.021;372;15.133;6.460;2.055;2.099;1.918;1.775;407;453;473;1.450;16;214;508;405;433;326;427;575;200;125;120;151;151;79;47;36;22;28;8;8;26;21;20;18;25;27;46;38;86;24;63;46;78;49;60
Asia;Eastern Asia;27;2;5;14;7;5;0;6;7;12;5;2;6;11;12;3;3;4;14;20;13;11;12;89;113;247;201;250;161;311;531;589;832;603;622;871;478;498;568;490;320;174;113;307;118;178;188;153;92;144;147;222;201;230;316;92;191;258;245;253;430
Asia;South-eastern Asia;28;3;5;8;7;3;2;14;6;2;3;17;7;8;4;3;10;9;8;4;3;4;3;0;1;0;4;0;4;5;1;1;12;8;5;9;14;11;51;23;37;42;47;85;15;158;145;299;216;276;292;320;314;457;527;551;488;558;592;541;737
Asia;Southern Asia;2;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;13;10;15;19;34;46;106;143;207;385;525;836;609;593;1.237;1.079;758;599;907;972;1.087;1.311;1.397;1.260;1.160;1.320;1.280;1.251;1.353;1.290;1.163;1.635;1.941;2.429;2.616;3.283;3.306
Asia;Western Asia;0;4;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;2;4;0;5;32;34;20;12;21;29;24;25;13;28;36;76;59;24;106;368;67;194;158;203;136;235;244;531;432;694;1.087;789;999;2.069;1.914;2.866;2.725
Asia;Central Asia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;6;27;10;17;18;22;7;7;40;21;45;66;94
Europe;Southern Europe;0;0;0;2;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;17;42;93;74;98;142;207;253;254;609;388;515;657;840;948;1.362;1.724;2.199;1.678;2.977;61;8.414;4.824;5.261;5.544;5.607;6.474;9.842;8.975;12.022;9.659;11.905;10.625;15.882;15.386;15.061;14.928
Europe;Western Europe;8;1;0;1;4;2;2;1;0;0;1;5;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;6;14;48;21;97;100;123;78;214;419;684;623;621;378;1.115;1.343;239;4.227;2.394;2.667;4.242;4.361;5.776;7.085;9.012;7.132;7.362;11.212;9.830;10.353;15.216;14.989;16.432
Europe;Eastern Europe;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;3;1;3;12;7;23;3;38;7;38;89;42;181;178;125;187;258;271;459;401;519;449;516;680;837;892;1.236;1.171
Europe;Northern Europe;0;1;0;3;0;0;0;0;0;0;1;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;3;9;12;21;25;15;33;96;135;120;149;161;198;574;650;394;1.285;793;330;781;897;1.114;974;2.087;1.773;1.613;1.801;2.484;2.602;3.491;4.304;3.986
