Bundesland;Fälle;Dif­fe­renz zum Vor­tag;Erkr./ 100.000 Einw.;Todes­fälle;Beson­ders betroffene Ge­biete in Deutsch­land;
Baden-Württemberg;9.794;+13*;88;101;;WAHR
Bayern;12.881;1.731;99;107;;WAHR
Berlin;2.360;199;63;9;;WAHR
Brandenburg;721;76;29;1;;WAHR
Bremen;275;15;40;2;;WAHR
Hamburg;1.846;81;100;4;;WAHR
Hessen;2.605;+1*;42;9;;WAHR
Mecklenburg-Vorpommern;348;40;22;1;;WAHR
Niedersachsen;3.450;300;43;21;;WAHR
Nordrhein-Westfalen;11.400;793;64;98;Landkreis Heinsberg;WAHR
Rheinland-Pfalz;2.396;184;59;12;;WAHR
Saarland;560;+10*;57;2;;WAHR
Sachsen;1.617;185;40;9;;WAHR
Sachsen-Anhalt;592;134;27;2;;WAHR
Schleswig-Holstein;1.005;90;35;6;;WAHR
Thüringen;697;113;33;5;;WAHR
Gesamt;52.547;3.965;63;389;;FALSCH
