Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;#
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Asia;Southern Asia;93;AFG;Afghanistan;0;;;;;;;;1
Europe;Southern Europe;355;ALB;Albania;0;;;;;;;;2
Africa;Northern Africa;213;DZA;Algeria;0;;;;;;;;3
Europe;Southern Europe;376;AND;Andorra;0;;;;;;;;4
Africa;Middle Africa;244;AGO;Angola;0;;;;;;;;5
Americas;Caribbean;1;ATG;Antigua and Barbuda;0;;;;;;;;6
Americas;South America;54;ARG;Argentina;0;;;;;;;;7
Asia;Western Asia;374;ARM;Armenia;0;;;;;;;;8
Oceania;Oceania;61;AUS;Australia;0;X;;;;;;;9
Oceania;Oceania;61;AUS;Australia;0;X;;;;;;;10
Oceania;Oceania;61;AUS;Australia;0;X;;;;;;;11
Oceania;Oceania;61;AUS;Australia;0;X;;;;;;;12
Oceania;Oceania;61;AUS;Australia;0;X;;;;;;;13
Oceania;Oceania;61;AUS;Australia;0;X;;;;;;;14
Oceania;Oceania;61;AUS;Australia;0;X;;;;;;;15
Oceania;Oceania;61;AUS;Australia;0;X;;;;;;;16
Europe;Western Europe;43;AUT;Austria;0;;;;;;;;17
Asia;Western Asia;994;AZE;Azerbaijan;0;;;;;;;;18
Americas;Caribbean;1;BHS;Bahamas;0;;;;;;;;19
Asia;Western Asia;973;BHR;Bahrain;0;;;;;;;;20
Asia;Southern Asia;880;BGD;Bangladesh;0;;;;;;;;21
Americas;Caribbean;1;BRB;Barbados;0;;;;;;;;22
Europe;Eastern Europe;375;BLR;Belarus;0;;;;;;;;23
Europe;Western Europe;32;BEL;Belgium;0;;;;;;;;24
Africa;Western Africa;229;BEN;Benin;0;;;;;;;;25
Asia;Southern Asia;975;BTN;Bhutan;0;;;;;;;;26
Americas;South America;591;BOL;Bolivia;0;;;;;;;;27
Europe;Southern Europe;387;BIH;Bosnia and Herzegovina;0;;;;;;;;28
Americas;South America;55;BRA;Brazil;0;;;;;;;;29
Asia;South-eastern Asia;673;BRN;Brunei;0;;;;;;;;30
Europe;Eastern Europe;359;BGR;Bulgaria;0;;;;;;;;31
Africa;Western Africa;226;BFA;Burkina Faso;0;;;;;;;;32
Africa;Western Africa;238;CPV;Cape Verde;0;;;;;;;;33
Asia;South-eastern Asia;855;KHM;Cambodia;0;;;;;;;;34
Africa;Middle Africa;237;CMR;Cameroon;0;;;;;;;;35
Americas;Northern America;1;CAN;Canada;0;X;;;;;;;36
Americas;Northern America;1;CAN;Canada;0;X;;;;;;;37
Americas;Northern America;1;CAN;Canada;0;X;;;;;;;38
Americas;Northern America;1;CAN;Canada;0;X;;;;;;;39
Americas;Northern America;1;CAN;Canada;0;X;;;;;;;40
Americas;Northern America;1;CAN;Canada;0;X;;;;;;;41
Americas;Northern America;1;CAN;Canada;0;X;;;;;;;42
Americas;Northern America;1;CAN;Canada;0;X;;;;;;;43
Americas;Northern America;1;CAN;Canada;0;X;;;;;;;44
Americas;Northern America;1;CAN;Canada;0;X;;;;;;;45
