Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;Doubletten;;"Cases 
/
100.000";Confirmed;Deaths;Recovered;Active;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;81.617.831;;;70,92;718.401;31.085;147.896;415.991;;;;20
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;Europe;Western Europe;49;DEU;Germany;BW;;Baden-Württemberg;;;;;10.483.012;DEU_BW;0;93,43;9.794;101;;;https://www.openstreetmap.org/#map=8/48.78232/09.17702&layers=T;48.78232;09.17702;
2020-03-29 14:05;Europe;Western Europe;49;DEU;Germany;BY;;Bayern;;;;;12.412.404;DEU_BY;0;103,78;12.881;107;;;https://www.openstreetmap.org/#map=8/48.13743/11.57549&layers=T;48.13743;11.57549;
2020-03-29 14:05;Europe;Western Europe;49;DEU;Germany;BE;;Berlin;;;;;3.291.932;DEU_BE;0;71,69;2.360;9;;;https://www.openstreetmap.org/#map=8/52.52437/13.41053&layers=T;52.52437;13.41053;
2020-03-29 14:05;Europe;Western Europe;49;DEU;Germany;BB;;Brandenburg;;;;;2.465.928;DEU_BB;0;29,24;721;1;;;https://www.openstreetmap.org/#map=8/52.39886/13.06566&layers=T;52.39886;13.06566;
2020-03-29 14:05;Europe;Western Europe;49;DEU;Germany;HB;;Bremen;;;;;650.715;DEU_HB;0;42,26;275;2;;;https://www.openstreetmap.org/#map=8/53.07363/08.80642&layers=T;53.07363;08.80642;
2020-03-29 14:05;Europe;Western Europe;49;DEU;Germany;HH;;Hamburg;;;;;1.675.840;DEU_HH;0;110,15;1.846;4;;;https://www.openstreetmap.org/#map=8/53.55108/09.99368&layers=T;53.55108;09.99368;
2020-03-29 14:05;Europe;Western Europe;49;DEU;Germany;HE;;Hessen;;;;;5.988.463;DEU_HE;0;43,50;2.605;9;;;https://www.openstreetmap.org/#map=8/50.07821/08.23976&layers=T;50.07821;08.23976;
2020-03-29 14:05;Europe;Western Europe;49;DEU;Germany;MV;;Mecklenburg-Vorpommern;;;;;1.620.815;DEU_MV;0;21,47;348;1;;;https://www.openstreetmap.org/#map=8/53.62959/11.41476&layers=T;53.62959;11.41476;
2020-03-29 14:05;Europe;Western Europe;49;DEU;Germany;NI;;Niedersachsen;;;;;7.790.533;DEU_NI;0;44,28;3.450;21;;;https://www.openstreetmap.org/#map=8/52.37392/09.73560&layers=T;52.37392;09.73560;
2020-03-29 14:05;Europe;Western Europe;49;DEU;Germany;NW;;Nordrhein-Westfalen;;;;;17.557.361;DEU_NW;0;64,93;11.400;98;;;https://www.openstreetmap.org/#map=8/51.21794/06.76168&layers=T;51.21794;06.76168;
2020-03-29 14:05;Europe;Western Europe;49;DEU;Germany;RP;;Rheinland-Pfalz;;;;;3.998.474;DEU_RP;0;59,92;2.396;12;;;https://www.openstreetmap.org/#map=8/49.99889/08.27394&layers=T;49.99889;08.27394;
