ID;ICC;Country;Province;District;Area;Local Report
IC;5;International Conveyance;WAHR;-;-;-
CHN;86;China;WAHR;-;-;-
DEU;49;Germany;WAHR;WAHR;WAHR;WAHR
IC;5;International Conveyance;WAHR;-;-;-
USA;1;United States;WAHR;WAHR;-;-
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
FRA;33;France;-;-;-;-
;;;;;;
;44;		;;;;
ENG;;England;-;-;-;-
GGY;;Guernsey;-;-;-;-
IMN;;Isle of Man;-;-;-;-
JEY;;Jersey;-;-;-;-
GB-NIR;;Northern Ireland;-;-;-;-
SCOT;;Scotland;-;-;-;-
GBR;;United Kingdom;-;-;-;-
GB-WLS;;Wales;-;-;-;-
