ID;Name;Region;Sub- or Intermediate Region;#
AFG;Afghanistan;Asia;Southern Asia;1
ALA;Åland Islands;Europe;Northern Europe;2
ALB;Albania;Europe;Southern Europe;3
DZA;Algeria;Africa;Northern Africa;4
ASM;American Samoa;Oceania;Polynesia;5
AND;Andorra;Europe;Southern Europe;6
AGO;Angola;Africa;Middle Africa;7
AIA;Anguilla;Americas;Caribbean;8
ATA;Antarctica;Antarctica;Antarctica;9
ATG;Antigua and Barbuda;Americas;Caribbean;10
ARG;Argentina;Americas;South America;11
ARM;Armenia;Asia;Western Asia;12
ABW;Aruba;Americas;Caribbean;13
AUS;Australia;Oceania;Oceania;14
AUT;Austria;Europe;Western Europe;15
AZE;Azerbaijan;Asia;Western Asia;16
BHS;Bahamas;Americas;Caribbean;17
BHR;Bahrain;Asia;Western Asia;18
BGD;Bangladesh;Asia;Southern Asia;19
BRB;Barbados;Americas;Caribbean;20
BLR;Belarus;Europe;Eastern Europe;21
BEL;Belgium;Europe;Western Europe;22
BLZ;Belize;Americas;Central America;23
BEN;Benin;Africa;Western Africa;24
BMU;Bermuda;Americas;Northern America;25
BTN;Bhutan;Asia;Southern Asia;26
BOL;Bolivia;Americas;South America;27
NL-BQ1;Bonaire;Americas;Caribbean;28
NL-BQ3;Sint Eustatius;Americas;Caribbean;29
NL-BQ2;Saba;Americas;Caribbean;30
BIH;Bosnia and Herzegovina;Europe;Southern Europe;31
BWA;Botswana;Africa;Southern Africa;32
BVT;Bouvet Island;Americas;South America;33
BRA;Brazil;Americas;South America;34
IOT;British Indian Ocean Territory;Africa;Eastern Africa;35
BRN;Brunei;Asia;South-eastern Asia;36
BGR;Bulgaria;Europe;Eastern Europe;37
BFA;Burkina Faso;Africa;Western Africa;38
BDI;Burundi;Africa;Eastern Africa;39
CPV;Cape Verde;Africa;Western Africa;40
KHM;Cambodia;Asia;South-eastern Asia;41
CMR;Cameroon;Africa;Middle Africa;42
CAN;Canada;Americas;Northern America;43
CYM;Cayman Islands;Americas;Caribbean;44
CAF;Central African Republic;Africa;Middle Africa;45
TCD;Chad;Africa;Middle Africa;46
CHL;Chile;Americas;South America;47
CHN;China;Asia;Eastern Asia;48
CXR;Christmas Island;Oceania;Oceania;49
CCK;Cocos (Keeling) Islands;Oceania;Oceania;50
COL;Colombia;Americas;South America;51
COM;Comoros;Africa;Eastern Africa;52
COG;Congo Republic;Africa;Middle Africa;53
COD;DR Congo;Africa;Middle Africa;54
COK;Cook Islands;Oceania;Polynesia;55
CRI;Costa Rica;Americas;Central America;56
CIV;Côte d'Ivoire;Africa;Western Africa;57
